http://www.candidagenome.org/download/External_id_mappings/gp2protein.cgd.gz
CGDID	Uniprot
CAL0000184598	Q5A5S6
CAL0000198761	A0A1D8
CAL0000198765	Q5ALX7
CAL0000184602	A0A1D8
CAL0000198771	A0A1D8
CAL0000198769	Q5APB4
CAL0000184610	A0A1D8
CAL0000198780	Q5A5B3
CAL0000198778	A0A1D8
CAL0000184628	A0A1D8
CAL0000198782	A0A1D8
CAL0000184634	A0A1D8
CAL0000198790	A0A1D8
CAL0000184638	Q59SS9
CAL0000184640	A0A1D8
CAL0000198798	A0A1D8
CAL0000198796	A0A1D8
CAL0000198808	A0A1D8
CAL0000198806	Q5AIB2
CAL0000184653	A0A1D8
CAL0000184657	A0A1D8
CAL0000198820	Q5ALK1
CAL0000198818	Q5ABC3
CAL0000198824	A0A1D8
CAL0000184663	A0A1D8
CAL0000198826	Q5AEH4
CAL0000198832	Q5A9D9
CAL0000184667	A0A1D8
CAL0000184669	A0A1D8
CAL0000184671	A0A1D8
CAL0000198847	Q59LZ8
CAL0000198849	A0A1D8
CAL0000198851	A0A1D8
CAL0000198855	A0A1D8
CAL0000184680	Q59UQ1
CAL0000184682	A0A1D8
CAL0000198857	Q5A2T4
CAL0000198871	A0A1D8
CAL0000198876	Q5ADR1
CAL0000184696	A0A1D8
CAL0000198885	A0A1D8
CAL0000198889	A0A1D8
CAL0000184710	A0A1D8
CAL0000184714	Q5A4M9
CAL0000184716	Q59YG6
CAL0000198891	A0A1D8
CAL0000184720	A0A1D8
CAL0000184722	A0A1D8
CAL0000184732	A0A1D8
CAL0000184736	A0A1D8
CAL0000184738	A0A1D8
CAL0000198909	A0A1D8
CAL0000198913	A0A1D8
CAL0000198917	A0A1D8
CAL0000198923	Q5A6L0
CAL0000198927	A0A1D8
CAL0000198925	Q5AG96
CAL0000184748	Q5AKX8
CAL0000184750	Q5ACW3
CAL0000198939	A0A1D8
CAL0000184752	A0A1D8
CAL0000184756	Q5AP79
CAL0000198949	Q5ADY2
CAL0000184758	A0A1D8
CAL0000198955	Q5AEI9
CAL0000198959	A0A1D8
CAL0000198957	Q5AFD3
CAL0000198964	Q5A349
CAL0000184764	Q5AK43
CAL0000184766	Q5ADP7
CAL0000184770	Q59PP1
CAL0000198968	Q5APF8
CAL0000184780	A0A1D8
CAL0000198975	A0A1D8
CAL0000184790	A0A1D8
CAL0000198985	A0A1D8
CAL0000198983	Q5ALY5
CAL0000198991	A0A1D8
CAL0000198989	A0A1D8
CAL0000198995	A0A1D8
CAL0000184808	A0A1D8
CAL0000184812	Q5AJD8
CAL0000184814	Q5AL31
CAL0000199005	A0A1D8
CAL0000184816	Q5ANG0
CAL0000184818	Q5AK39
CAL0000184822	A0A1D8
CAL0000199020	Q5AAQ7
CAL0000184826	Q5A352
CAL0000199024	A0A1D8
CAL0000199029	A0A1D8
CAL0000199031	A0A1D8
CAL0000184834	A0A1D8
CAL0000184836	A0A1D8
CAL0000184842	A0A1D8
CAL0000199042	A0A1D8
CAL0000184844	Q5A693
CAL0000184846	A0A1D8
CAL0000184849	A0A1D8
CAL0000199050	A0A1D8
CAL0000184859	A0A1D8
CAL0000184863	Q5ADP5
CAL0000199054	Q59ZZ8
CAL0000199062	A0A1D8
CAL0000199066	A0A1D8
CAL0000184879	A0A1D8
CAL0000184881	Q5AEN2
CAL0000199070	A0A1D8
CAL0000184889	A0A1D8
CAL0000184893	Q59ZH8
CAL0000184899	A0A1D8
CAL0000199083	A0A1D8
CAL0000199087	A0A1D8
CAL0000199093	A0A1D8
CAL0000184902	A0A1D8
CAL0000184906	A0A1D8
CAL0000184908	A0A1D8
CAL0000184911	A0A1D8
CAL0000184913	Q5ADU9
CAL0000199107	A0A1D8
CAL0000199105	A0A1D8
CAL0000184933	A0A1D8
CAL0000199113	A0A1D8
CAL0000199117	Q5ADW0
CAL0000184939	A0A1D8
CAL0000199121	Q5A508
CAL0000199131	Q5A1B0
CAL0000184947	Q5AMQ5
CAL0000184951	A0A1D8
CAL0000184953	A0A1D8
CAL0000184955	Q5AEF3
CAL0000199135	Q5AD18
CAL0000184959	A0A1D8
CAL0000184969	Q59SD0
CAL0000184983	A0A1D8
CAL0000199151	Q5A1B1
CAL0000184989	Q59N31
CAL0000199161	A0A1D8
CAL0000185001	A0A1D8
CAL0000185007	Q5APP1
CAL0000185005	A0A1D8
CAL0000199174	A0A1D8
CAL0000199172	Q5ANE4
CAL0000185013	Q5AGV1
CAL0000185019	Q5A337
CAL0000185028	A0A1D8
CAL0000185031	A0A1D8
CAL0000199196	A0A1D8
CAL0000185041	Q59SS7
CAL0000199202	A0A1D8
CAL0000185049	A0A1D8
CAL0000185051	A0A1D8
CAL0000199206	A0A1D8
CAL0000199204	A0A1D8
CAL0000185056	A0A1D8
CAL0000199209	A0A1D8
CAL0000199211	A0A1D8
CAL0000185066	A0A1D8
CAL0000185068	A0A1D8
CAL0000185070	A0A1D8
CAL0000199215	A0A1D8
CAL0000199219	A0A1D8
CAL0000185076	A0A1D8
CAL0000199227	A0A1D8
CAL0000199231	A0A1D8
CAL0000199233	A0A1D8
CAL0000199237	A0A1D8
CAL0000199235	A0A1D8
CAL0000185086	A0A1D8
CAL0000185090	A0A1D8
CAL0000185092	A0A1D8
CAL0000185094	A0A1D8
CAL0000199243	A0A1D8
CAL0000185102	A0A1D8
CAL0000199257	A0A1D8
CAL0000185104	A0A1D8
CAL0000199255	Q5A5P8
CAL0000199259	A0A1D8
CAL0000199263	A0A1D8
CAL0000185116	A0A1D8
CAL0000185118	A0A1D8
CAL0000199273	A0A1D8
CAL0000185120	A0A1D8
CAL0000199279	A0A1D8
CAL0000199277	A0A1D8
CAL0000185129	A0A1D8
CAL0000199281	Q5ALU3
CAL0000185131	Q59P52
CAL0000199289	A0A1D8
CAL0000185135	A0A1D8
CAL0000185137	A0A1D8
CAL0000185139	A0A1D8
CAL0000185143	A0A1D8
CAL0000185145	Q5ADU2
CAL0000199299	A0A1D8
CAL0000199301	A0A1D8
CAL0000199303	Q5A7L9
CAL0000185155	Q59U72
CAL0000185159	A0A1D8
CAL0000199313	A0A1D8
CAL0000185164	Q59UG6
CAL0000199315	Q5ANH5
CAL0000199317	A0A1D8
CAL0000185170	A0A1D8
CAL0000185174	A0A1D8
CAL0000199325	Q5A5N2
CAL0000199331	Q59XS8
CAL0000199336	Q5AMH0
CAL0000199338	Q59QT0
CAL0000199340	A0A1D8
CAL0000199342	A0A1D8
CAL0000185194	Q5A5C1
CAL0000199346	Q5ANF0
CAL0000199354	A0A1D8
CAL0000199358	A0A1D8
CAL0000185208	Q5A331
CAL0000199366	Q5AAT6
CAL0000199372	Q59W37
CAL0000199370	A0A1D8
CAL0000185218	A0A1D8
CAL0000185220	Q59PA6
CAL0000185225	A0A1D8
CAL0000199376	Q59T30
CAL0000199382	Q59S81
CAL0000185227	Q5AJ63
CAL0000185229	A0A1D8
CAL0000185233	A0A1D8
CAL0000185237	A0A1D8
CAL0000199394	A0A1D8
CAL0000185241	Q5AI00
CAL0000185243	A0A1D8
CAL0000199398	Q59P56
CAL0000199400	A0A1D8
CAL0000199404	Q59RI7
CAL0000185249	Q5AL34
CAL0000185251	A0A1D8
CAL0000185255	A0A1D8
CAL0000185259	A0A1D8
CAL0000185265	A0A1D8
CAL0000185267	A0A1D8
CAL0000199415	Q5AGD9
CAL0000185272	A0A1D8
CAL0000185278	A0A1D8
CAL0000199421	Q59SI6
CAL0000185280	A0A1D8
CAL0000185284	A0A1D8
CAL0000185286	Q5AGV2
CAL0000185290	A0A1D8
CAL0000199430	Q59VN4
CAL0000199428	Q5A0N3
CAL0000199432	A0A1D8
CAL0000185294	A0A1D8
CAL0000199434	Q59MV6
CAL0000185296	Q5ANB6
CAL0000185298	Q5AI42
CAL0000185307	A0A1D8
CAL0000185313	A0A1D8
CAL0000199452	A0A1D8
CAL0000185315	Q5AEG3
CAL0000185323	Q5ANG1
CAL0000199454	A0A1D8
CAL0000199458	A0A1D8
CAL0000185339	Q5A6S0
CAL0000199466	Q5A026
CAL0000185341	Q5ALY1
CAL0000185343	A0A1D8
CAL0000185349	Q5AI56
CAL0000199480	A0A1D8
CAL0000185353	A0A1D8
CAL0000185355	Q5AF73
CAL0000185357	A0A1D8
CAL0000199486	Q5A298
CAL0000185361	A0A1D8
CAL0000185365	A0A1D8
CAL0000185373	A0A1D8
CAL0000199503	A0A1D8
CAL0000199501	A0A1D8
CAL0000185379	Q5A886
CAL0000199507	A0A1D8
CAL0000199513	A0A1D8
CAL0000185383	A0A1D8
CAL0000199521	Q5A843
CAL0000199519	A0A1D8
CAL0000185387	A0A1D8
CAL0000185401	Q59VP9
CAL0000185409	Q59KK0
CAL0000185411	Q5A1M6
CAL0000185418	A0A1D8
CAL0000199537	Q59US6
CAL0000185422	A0A1D8
CAL0000185426	A0A1D8
CAL0000185428	A0A1D8
CAL0000185430	A0A1D8
CAL0000185432	A0A1D8
CAL0000185434	Q59PZ4
CAL0000185442	Q5AK01
CAL0000199552	Q59Z57
CAL0000185450	Q5AKX6
CAL0000199554	Q5A510
CAL0000185454	A0A1D8
CAL0000199564	Q5A4Z4
CAL0000199570	A0A1D8
CAL0000199572	A0A1D8
CAL0000185458	A0A1D8
CAL0000185460	A0A1D8
CAL0000199576	A0A1D8
CAL0000199580	A0A1D8
CAL0000185466	Q5AMR6
CAL0000185468	Q59TM5
CAL0000199588	A0A1D8
CAL0000199586	A0A1D8
CAL0000185472	Q5AEH0
CAL0000199590	A0A1D8
CAL0000199592	A0A1D8
CAL0000185484	A0A1D8
CAL0000185498	A0A1D8
CAL0000185504	A0A1D8
CAL0000199602	Q5A6L7
CAL0000199600	Q5A896
CAL0000199598	A0A1D8
CAL0000185508	A0A1D8
CAL0000185510	Q5ANI2
CAL0000185512	Q59UP3
CAL0000185514	A0A1D8
CAL0000185522	A0A1D8
CAL0000185526	Q5ABD1
CAL0000199614	Q5ADX4
CAL0000185528	Q5A1C0
CAL0000185534	Q5A1E4
CAL0000185536	Q59KX3
CAL0000199621	A0A1D8
CAL0000199633	Q5APB0
CAL0000199629	A0A1D8
CAL0000185540	A0A1D8
CAL0000185542	A0A1D8
CAL0000185544	Q5AGX1
CAL0000199643	A0A1D8
CAL0000185550	A0A1D8
CAL0000185556	Q5ACY8
CAL0000185564	Q59TT9
CAL0000199653	A0A1D8
CAL0000199655	A0A1D8
CAL0000185568	Q5ADP0
CAL0000199667	A0A1D8
CAL0000199665	A0A1D8
CAL0000185570	A0A1D8
CAL0000185572	A0A1D8
CAL0000199673	Q59Y27
CAL0000199671	A0A1D8
CAL0000199679	A0A1D8
CAL0000199681	A0A1D8
CAL0000199689	Q5A7S3
CAL0000185586	A0A1D8
CAL0000199695	A0A1D8
CAL0000199691	Q59WK1
CAL0000199693	Q5A4Z5
CAL0000185596	A0A1D8
CAL0000199703	A0A1D8
CAL0000185600	A0A1D8
CAL0000199705	A0A1D8
CAL0000185607	A0A1D8
CAL0000199707	Q5ADP1
CAL0000185613	A0A1D8
CAL0000199709	A0A1D8
CAL0000199711	A0A1D8
CAL0000199713	A0A1D8
CAL0000185619	A0A1D8
CAL0000199717	Q5APC1
CAL0000185625	A0A1D8
CAL0000185629	A0A1D8
CAL0000185635	A0A1D8
CAL0000185637	Q59T42
CAL0000199729	A0A1D8
CAL0000185639	Q5A663
CAL0000199735	G1UB37
CAL0000199737	A0A1D8
CAL0000185654	Q59PT8
CAL0000199747	Q59UE8
CAL0000185665	A0A1D8
CAL0000199743	A0A1D8
CAL0000199745	A0A1D8
CAL0000185669	A0A1D8
CAL0000199751	A0A1D8
CAL0000199753	A0A1D8
CAL0000185671	A0A1D8
CAL0000185673	A0A1D8
CAL0000199757	A0A1D8
CAL0000199767	A0A1D8
CAL0000199763	A0A1D8
CAL0000185681	Q5A297
CAL0000185691	A0A1D8
CAL0000199773	Q5ACX4
CAL0000185701	A0A1D8
CAL0000185703	A0A1D8
CAL0000199787	A0A1D8
CAL0000185710	A0A1D8
CAL0000185716	Q5AHB5
CAL0000199793	Q5ADN4
CAL0000199799	A0A1D8
CAL0000199817	Q5ALW9
CAL0000199819	Q5AJX7
CAL0000199823	A0A1D8
CAL0000185732	A0A1D8
CAL0000185742	A0A1D8
CAL0000199831	A0A1D8
CAL0000185746	Q5ANG8
CAL0000185748	A0A1D8
CAL0000199836	A0A1D8
CAL0000185760	Q5A7P1
CAL0000185762	Q59YG5
CAL0000199842	A0A1D8
CAL0000199840	A0A1D8
CAL0000185765	A0A1D8
CAL0000185769	A0A1D8
CAL0000185771	A0A1D8
CAL0000199846	A0A1D8
CAL0000185777	A0A1D8
CAL0000199850	A0A1D8
CAL0000185781	A0A1D8
CAL0000185783	A0A1D8
CAL0000199856	Q59TM0
CAL0000185787	A0A1D8
CAL0000199868	A0A1D8
CAL0000199872	A0A1D8
CAL0000199878	Q5AJ93
CAL0000185793	A0A1D8
CAL0000199882	A0A1D8
CAL0000185799	A0A1D8
CAL0000185803	A0A1D8
CAL0000185809	A0A1D8
CAL0000185811	Q5A7K5
CAL0000199892	Q5AEE8
CAL0000199894	A0A1D8
CAL0000185815	Q5ALU6
CAL0000199898	Q5ANG4
CAL0000199904	A0A1D8
CAL0000199902	A0A1D8
CAL0000185821	Q5A5R4
CAL0000199909	A0A1D8
CAL0000199911	Q5A850
CAL0000185837	Q5A879
CAL0000199921	A0A1D8
CAL0000199923	A0A1D8
CAL0000199927	Q5AK49
CAL0000185845	A0A1D8
CAL0000185847	Q5A0Y9
CAL0000199933	A0A1D8
CAL0000199939	Q59UQ8
CAL0000185863	A0A1D8
CAL0000185865	A0A1D8
CAL0000199943	Q5AF80
CAL0000199955	A0A1D8
CAL0000199953	A0A1D8
CAL0000185871	Q5A389
CAL0000185875	A0A1D8
CAL0000185887	A0A1D8
CAL0000199973	A0A1D8
CAL0000199979	A0A1D8
CAL0000185891	A0A1D8
CAL0000199985	A0A1D8
CAL0000199995	A0A1D8
CAL0000200000	A0A1D8
CAL0000185898	A0A1D8
CAL0000200002	A0A1D8
CAL0000200004	G1U9Y9
CAL0000185901	A0A1D8
CAL0000185903	A0A1D8
CAL0000200014	A0A1D8
CAL0000185912	Q5ALU0
CAL0000185914	A0A1D8
CAL0000200020	Q59PS7
CAL0000185916	A0A1D8
CAL0000200024	A0A1D8
CAL0000185918	A0A1D8
CAL0000185920	A0A1D8
CAL0000185928	A0A1D8
CAL0000185934	A0A1D8
CAL0000185936	A0A1D8
CAL0000200026	Q59XU9
CAL0000200028	A0A1D8
CAL0000185938	A0A1D8
CAL0000200034	A0A1D8
CAL0000185942	Q5ADM5
CAL0000200038	Q59UQ3
CAL0000185948	Q5A2T2
CAL0000185950	Q5A1Y9
CAL0000200044	A0A1D8
CAL0000185954	Q5A889
CAL0000200050	Q5ABS1
CAL0000185956	Q5AJH3
CAL0000185958	A0A1D8
CAL0000185960	G1UAK3
CAL0000200060	Q5AP71
CAL0000185966	A0A1D8
CAL0000185968	Q5AB70
CAL0000200062	A0A1D8
CAL0000185972	A0A1D8
CAL0000200064	A0A1D8
CAL0000185974	A0A1D8
CAL0000200070	Q59T49
CAL0000185978	A0A1D8
CAL0000185976	A0A1D8
CAL0000200072	A0A1D8
CAL0000185980	A0A1D8
CAL0000185982	A0A1D8
CAL0000200078	A0A1D8
CAL0000185986	A0A1D8
CAL0000200082	A0A1D8
CAL0000200088	Q5ALJ1
CAL0000200090	Q59ZE0
CAL0000200092	A0A1D8
CAL0000200094	A0A1D8
CAL0000185990	A0A1D8
CAL0000200112	Q59V73
CAL0000186002	A0A1D8
CAL0000186004	Q5ABF8
CAL0000186010	A0A1D8
CAL0000200114	A0A1D8
CAL0000200118	A0A1D8
CAL0000200116	A0A1D8
CAL0000200122	A0A1D8
CAL0000200127	A0A1D8
CAL0000200135	G1UA67
CAL0000200133	Q5AK15
CAL0000186022	Q59MF3
CAL0000200131	A0A1D8
CAL0000186026	A0A1D8
CAL0000186032	Q5A8J1
CAL0000200139	A0A1D8
CAL0000200149	A0A1D8
CAL0000200147	A0A1D8
CAL0000200145	A0A1D8
CAL0000200153	Q5A320
CAL0000186043	A0A1D8
CAL0000200163	A0A1D8
CAL0000200173	A0A1D8
CAL0000200177	A0A1D8
CAL0000200181	A0A1D8
CAL0000200179	A0A1D8
CAL0000200183	Q59X34
CAL0000186065	A0A1D8
CAL0000186071	Q59WI9
CAL0000186077	A0A1D8
CAL0000200205	A0A1D8
CAL0000200219	Q5AI91
CAL0000200226	A0A1D8
CAL0000200228	A0A1D8
CAL0000200234	A0A1D8
CAL0000200232	Q5A1N1
CAL0000200240	A0A1D8
CAL0000200244	A0A1D8
CAL0000200248	A0A1D8
CAL0000200252	A0A1D8
CAL0000186095	A0A1D8
CAL0000186097	A0A1D8
CAL0000186099	Q5A7Q4
CAL0000200254	A0A1D8
CAL0000186101	Q59T92
CAL0000186103	A0A1D8
CAL0000186105	A0A1D8
CAL0000186109	A0A1D8
CAL0000186111	Q5AKW6
CAL0000186113	A0A1D8
CAL0000200274	A0A1D8
CAL0000186115	A0A1D8
CAL0000186125	Q5APE5
CAL0000186127	A0A1D8
CAL0000200280	Q59X46
CAL0000186131	Q59TV8
CAL0000200284	A0A1D8
CAL0000200286	Q5AGX5
CAL0000200290	A0A1D8
CAL0000186143	Q5AEV7
CAL0000200288	A0A1D8
CAL0000200297	A0A1D8
CAL0000200301	Q5A3K4
CAL0000200303	A0A1D8
CAL0000200309	Q5ALV5
CAL0000186154	A0A1D8
CAL0000200307	Q5AEC9
CAL0000200311	Q5A5B6
CAL0000200315	Q5AH74
CAL0000200313	Q5AB84
CAL0000186164	A0A1D8
CAL0000200321	A0A1D8
CAL0000186172	Q59LZ9
CAL0000200327	A0A1D8
CAL0000200329	A0A1D8
CAL0000186178	A0A1D8
CAL0000186182	A0A1D8
CAL0000186186	A0A1D8
CAL0000186188	A0A1D8
CAL0000200338	A0A1D8
CAL0000186191	A0A1D8
CAL0000200346	Q59X87
CAL0000200350	A0A1D8
CAL0000200348	A0A1D8
CAL0000186201	A0A1D8
CAL0000186207	A0A1D8
CAL0000186209	A0A1D8
CAL0000186213	Q5ADN7
CAL0000186217	A0A1D8
CAL0000186221	A0A1D8
CAL0000200377	A0A1D8
CAL0000200373	Q5AJG7
CAL0000186233	Q5AF81
CAL0000186239	Q59VI3
CAL0000186243	A0A1D8
CAL0000200399	A0A1D8
CAL0000186253	Q59R21
CAL0000200403	A0A1D8
CAL0000186257	Q5APK1
CAL0000186259	Q5ANN5
CAL0000200413	Q5AHH0
CAL0000200415	A0A1D8
CAL0000200419	Q5A339
CAL0000186267	Q5AB86
CAL0000200421	A0A1D8
CAL0000186271	Q59ZE1
CAL0000200423	A0A1D8
CAL0000200433	A0A1D8
CAL0000186277	Q59TD5
CAL0000186281	Q59SL4
CAL0000186283	A0A1D8
CAL0000200443	A0A1D8
CAL0000200451	A0A1D8
CAL0000186293	Q59Y55
CAL0000200457	A0A1D8
CAL0000200459	A0A1D8
CAL0000200463	A0A1D8
CAL0000186305	Q59MF4
CAL0000200471	A0A1D8
CAL0000200475	Q5AH29
CAL0000186309	A0A1D8
CAL0000186311	Q59X29
CAL0000186313	A0A1D8
CAL0000186317	A0A1D8
CAL0000186321	Q5A4K9
CAL0000200486	A0A1D8
CAL0000200492	A0A1D8
CAL0000186327	Q5ABC2
CAL0000186329	A0A1D8
CAL0000186333	Q5AH76
CAL0000186337	A0A1D8
CAL0000200504	A0A1D8
CAL0000200502	A0A1D8
CAL0000200506	A0A1D8
CAL0000186339	Q5ADS0
CAL0000186343	Q59PU5
CAL0000186351	Q5AKY1
CAL0000186353	Q59W68
CAL0000200516	Q59Z65
CAL0000200520	Q59YC3
CAL0000200522	A0A1D8
CAL0000186367	Q5A4K5
CAL0000186369	Q5AEF9
CAL0000200530	Q5A8J5
CAL0000186371	Q5AD50
CAL0000186377	A0A1D8
CAL0000186379	Q5AEH6
CAL0000200538	Q5A314
CAL0000186381	A0A1D8
CAL0000200542	A0A1D8
CAL0000186383	A0A1D8
CAL0000186385	A0A1D8
CAL0000200540	A0A1D8
CAL0000186387	A0A1D8
CAL0000186389	A0A1D8
CAL0000186391	A0A1D8
CAL0000200546	A0A1D8
CAL0000186399	A0A1D8
CAL0000186403	A0A1D8
CAL0000186405	A0A1D8
CAL0000200555	A0A1D8
CAL0000186407	A0A1D8
CAL0000186409	A0A1D8
CAL0000200561	A0A1D8
CAL0000186411	Q5A856
CAL0000186413	Q5AJY4
CAL0000200569	Q59R26
CAL0000200575	A0A1D8
CAL0000200587	A0A1D8
CAL0000200583	A0A1D8
CAL0000186425	Q5A340
CAL0000186427	Q5AK53
CAL0000186429	Q5AG95
CAL0000200598	Q5AG39
CAL0000186441	A0A1D8
CAL0000186447	A0A1D8
CAL0000200606	A0A1D8
CAL0000200608	A0A1D8
CAL0000186451	A0A1D8
CAL0000186453	A0A1D8
CAL0000186455	A0A1D8
CAL0000186461	Q5AMR8
CAL0000200626	Q5AD20
CAL0000186464	Q5A3M3
CAL0000200632	A0A1D8
CAL0000200636	A0A1D8
CAL0000186468	Q59N72
CAL0000186470	A0A1D8
CAL0000200640	A0A1D8
CAL0000200638	A0A1D8
CAL0000200644	Q59PA4
CAL0000200650	A0A1D8
CAL0000200652	A0A1D8
CAL0000186476	Q5A1L3
CAL0000186480	A0A1D8
CAL0000200656	A0A1D8
CAL0000186482	A0A1D8
CAL0000186484	Q59RP1
CAL0000200662	A0A1D8
CAL0000186486	A0A1D8
CAL0000200672	Q59QG8
CAL0000186490	A0A1D8
CAL0000200670	Q59SL0
CAL0000200676	A0A1D8
CAL0000200680	Q5AJX5
CAL0000186502	A0A1D8
CAL0000186504	A0A1D8
CAL0000186510	Q5AK60
CAL0000200692	A0A1D8
CAL0000200710	A0A1D8
CAL0000200714	Q5A873
CAL0000200718	A0A1D8
CAL0000186516	A0A1D8
CAL0000186518	Q59PS2
CAL0000186520	Q59KV8
CAL0000200727	Q5ANK5
CAL0000200731	Q59MV2
CAL0000200735	A0A1D8
CAL0000200745	Q5A283
CAL0000200747	A0A1D8
CAL0000186528	A0A1D8
CAL0000200749	A0A1D8
CAL0000200755	Q5A786
CAL0000200757	Q5AK69
CAL0000186539	Q59ST9
CAL0000186541	A0A1D8
CAL0000186545	Q5ADX0
CAL0000186547	A0A1D8
CAL0000200765	A0A1D8
CAL0000186555	Q5AK82
CAL0000186557	Q5AKX3
CAL0000186559	A0A1D8
CAL0000186561	Q5A462
CAL0000200769	A0A1D8
CAL0000200776	Q59PU4
CAL0000186581	A0A1D8
CAL0000200778	Q5AKV1
CAL0000200782	Q5A326
CAL0000200780	Q5A5B0
CAL0000200784	Q5ANC6
CAL0000200786	Q5ANN9
CAL0000200790	A0A1D8
CAL0000186589	Q5AH42
CAL0000186593	A0A1D8
CAL0000200802	A0A1D8
CAL0000200800	A0A1D8
CAL0000186599	A0A1D8
CAL0000186601	Q5A9X2
CAL0000186603	A0A1D8
CAL0000200808	A0A1D8
CAL0000200816	A0A1D8
CAL0000200820	A0A1D8
CAL0000186613	A0A1D8
CAL0000186615	Q5ANA0
CAL0000186621	A0A1D8
CAL0000186626	A0A1D8
CAL0000200828	A0A1D8
CAL0000186624	A0A1D8
CAL0000186632	A0A1D8
CAL0000200844	A0A1D8
CAL0000200846	A0A1D8
CAL0000200848	A0A1D8
CAL0000200852	A0A1D8
CAL0000186646	Q5AI94
CAL0000186654	Q5AA55
CAL0000200856	A0A1D8
CAL0000186658	A0A1D8
CAL0000186660	A0A1D8
CAL0000186670	Q59TB3
CAL0000186672	Q5A7P2
CAL0000200868	Q5A388
CAL0000186674	A0A1D8
CAL0000186676	A0A1D8
CAL0000200872	A0A1D8
CAL0000200870	A0A1D8
CAL0000186678	Q5ALP8
CAL0000200874	A0A1D8
CAL0000200882	Q5A9A6
CAL0000186686	A0A1D8
CAL0000186688	Q5ADV1
CAL0000200890	Q5ADQ6
CAL0000186690	A0A1D8
CAL0000186692	A0A1D8
CAL0000186694	A0A1D8
CAL0000200894	A0A1D8
CAL0000186696	A0A1D8
CAL0000186698	Q5AAT3
CAL0000200898	A0A1D8
CAL0000186704	A0A1D8
CAL0000200900	A0A1D8
CAL0000186706	A0A1D8
CAL0000186712	A0A1D8
CAL0000186718	A0A1D8
CAL0000200920	A0A1D8
CAL0000200918	A0A1D8
CAL0000186724	Q59PZ6
CAL0000200922	A0A1D8
CAL0000200924	Q59VX1
CAL0000186726	A0A1D8
CAL0000200926	A0A1D8
CAL0000186740	Q5AKV0
CAL0000200935	A0A1D8
CAL0000186748	A0A1D8
CAL0000200941	A0A1D8
CAL0000200947	Q59W63
CAL0000200953	A0A1D8
CAL0000200951	A0A1D8
CAL0000186757	Q59PZ1
CAL0000186765	Q59T44
CAL0000200961	A0A1D8
CAL0000200963	Q5A1Z7
CAL0000200967	A0A1D8
CAL0000186776	Q5AGY1
CAL0000186778	Q5A4M7
CAL0000200971	A0A1D8
CAL0000186780	Q5AB88
CAL0000200979	A0A1D8
CAL0000186782	A0A1D8
CAL0000186790	A0A1D8
CAL0000186796	A0A1D8
CAL0000200987	Q5A5N0
CAL0000200985	Q5A0W4
CAL0000200989	A0A1D8
CAL0000201001	A0A1D8
CAL0000201005	A0A1D8
CAL0000201007	A0A1D8
CAL0000201015	A0A1D8
CAL0000186816	A0A1D8
CAL0000201017	A0A1D8
CAL0000201019	A0A1D8
CAL0000186827	A0A1D8
CAL0000201023	Q59LS1
CAL0000186829	A0A1D8
CAL0000201038	A0A1D8
CAL0000186863	A0A1D8
CAL0000186865	A0A1D8
CAL0000201050	A0A1D8
CAL0000186869	A0A1D8
CAL0000201056	A0A1D8
CAL0000201060	A0A1D8
CAL0000201066	A0A1D8
CAL0000201072	Q59PR7
CAL0000201074	A0A1D8
CAL0000186885	A0A1D8
CAL0000201076	Q59MG2
CAL0000186897	A0A1D8
CAL0000201080	Q5A015
CAL0000186899	A0A1D8
CAL0000201082	A0A1D8
CAL0000201090	A0A1D8
CAL0000201086	A0A1D8
CAL0000201094	A0A1D8
CAL0000186904	A0A1D8
CAL0000201100	A0A1D8
CAL0000186906	Q59Y39
CAL0000201098	A0A1D8
CAL0000186908	A0A1D8
CAL0000186910	Q5ANE1
CAL0000201104	Q5A8I4
CAL0000201102	A0A1D8
CAL0000201106	Q5AMP2
CAL0000186912	A0A1D8
CAL0000186914	A0A1D8
CAL0000186918	A0A1D8
CAL0000186920	Q5AEI3
CAL0000201116	A0A1D8
CAL0000201118	A0A1D8
CAL0000201122	Q59M32
CAL0000201126	A0A1D8
CAL0000201128	A0A1D8
CAL0000186930	A0A1D8
CAL0000186934	Q5AMQ1
CAL0000201142	Q5AB98
CAL0000201146	A0A1D8
CAL0000186938	A0A1D8
CAL0000186940	A0A1D8
CAL0000201150	A0A1D8
CAL0000201152	A0A1D8
CAL0000201160	A0A1D8
CAL0000201164	A0A1D8
CAL0000201162	A0A1D8
CAL0000186954	A0A1D8
CAL0000186958	A0A1D8
CAL0000186966	A0A1D8
CAL0000186968	Q59VX7
CAL0000186970	Q5ANH4
CAL0000186972	Q5AMN5
CAL0000186976	Q5AAN8
CAL0000186980	Q59T89
CAL0000201185	A0A1D8
CAL0000201191	Q5A7M4
CAL0000186990	A0A1D8
CAL0000201195	A0A1D8
CAL0000201197	Q5AMM9
CAL0000201199	Q59Y16
CAL0000187002	A0A1D8
CAL0000201205	A0A1D8
CAL0000201213	A0A1D8
CAL0000201217	A0A1D8
CAL0000187006	A0A1D8
CAL0000201225	A0A1D8
CAL0000187012	A0A1D8
CAL0000201227	Q5AJC3
CAL0000201233	A0A1D8
CAL0000201231	A0A1D8
CAL0000187018	A0A1D8
CAL0000201235	Q59RC4
CAL0000187024	Q5A9X0
CAL0000201237	Q5AJC2
