http://www.candidagenome.org/download/External_id_mappings/gp2protein.cgd.gz
CGD:CAL0000193101	UniProtKB:Q5A0W9
CGD:CAL0000179646	UniProtKB:Q5ALM0
CGD:CAL0000179644	UniProtKB:Q59KV5
CGD:CAL0000179648	UniProtKB:A0A1D8PT64
CGD:CAL0000179650	UniProtKB:Q59ZE6
CGD:CAL0000179656	UniProtKB:A0A1D8PNU4
CGD:CAL0000179660	UniProtKB:Q5APB9
CGD:CAL0000193682	UniProtKB:A0A1D8PMA7
CGD:CAL0000179666	UniProtKB:A0A1D8PJ23
CGD:CAL0000179668	UniProtKB:A0A1D8PP60
CGD:CAL0000193688	UniProtKB:A0A1D8PJZ1
CGD:CAL0000193692	UniProtKB:G1UAZ9
CGD:CAL0000193690	UniProtKB:A0A1D8PEQ8
CGD:CAL0000193694	UniProtKB:Q59ZF4
CGD:CAL0000193702	UniProtKB:A0A1D8PEJ7
CGD:CAL0000193700	UniProtKB:Q5AKV7
CGD:CAL0000193704	UniProtKB:A0A1D8PG44
CGD:CAL0000193708	UniProtKB:A0A1D8PJM6
CGD:CAL0000193710	UniProtKB:A0A1D8PS92
CGD:CAL0000179684	UniProtKB:Q59SJ3
CGD:CAL0000193718	UniProtKB:A0A1D8PET0
CGD:CAL0000193720	UniProtKB:A0A1D8PJK7
CGD:CAL0000193728	UniProtKB:Q59P92
CGD:CAL0000179694	UniProtKB:A0A1D8PKP8
CGD:CAL0000179698	UniProtKB:A0A1D8PSA1
CGD:CAL0000193732	UniProtKB:A0A1D8PCY0
CGD:CAL0000179704	UniProtKB:A0A1D8PH41
CGD:CAL0000179708	UniProtKB:A0A1D8PLA4
CGD:CAL0000179710	UniProtKB:A0A1D8PDL5
CGD:CAL0000193736	UniProtKB:Q5A327
CGD:CAL0000179712	UniProtKB:Q5A683
CGD:CAL0000179716	UniProtKB:A0A1D8PFB2
CGD:CAL0000193740	UniProtKB:A0A1D8PQG9
CGD:CAL0000193742	UniProtKB:A0A1D8PJR4
CGD:CAL0000179722	UniProtKB:A0A1D8PF73
CGD:CAL0000179724	UniProtKB:A0A1D8PMT4
CGD:CAL0000179740	UniProtKB:Q5AN96
CGD:CAL0000193754	UniProtKB:Q5AK79
CGD:CAL0000193768	UniProtKB:G1UAN9
CGD:CAL0000193772	UniProtKB:Q5A0H3
CGD:CAL0000193774	UniProtKB:Q59WD1
CGD:CAL0000193776	UniProtKB:A0A1D8PL08
CGD:CAL0000179752	UniProtKB:Q5AP78
CGD:CAL0000193782	UniProtKB:A0A1D8PM92
CGD:CAL0000179754	UniProtKB:A0A1D8PH36
CGD:CAL0000193792	UniProtKB:Q59Q30
CGD:CAL0000179760	UniProtKB:A0A1D8PSQ9
CGD:CAL0000179764	UniProtKB:Q59T95
CGD:CAL0000179768	UniProtKB:A0A1D8PNP8
CGD:CAL0000193803	UniProtKB:A0A1D8PSF1
CGD:CAL0000179770	UniProtKB:A0A1D8PNR5
CGD:CAL0000179780	UniProtKB:A0A1D8PCC6
CGD:CAL0000193815	UniProtKB:A0A1D8PSK2
CGD:CAL0000193813	UniProtKB:A0A1D8PH81
CGD:CAL0000179804	UniProtKB:A0A1D8PKC5
CGD:CAL0000193825	UniProtKB:A0A1D8PJF0
CGD:CAL0000179806	UniProtKB:Q5A863
CGD:CAL0000179810	UniProtKB:A0A1D8PDT7
CGD:CAL0000179812	UniProtKB:A0A1D8PRM3
CGD:CAL0000179816	UniProtKB:Q5AF38
CGD:CAL0000193845	UniProtKB:Q5A2I3
CGD:CAL0000193849	UniProtKB:A0A1D8PN24
CGD:CAL0000193853	UniProtKB:Q5A2T8
CGD:CAL0000179831	UniProtKB:A0A1D8PLV8
CGD:CAL0000193855	UniProtKB:Q5AI14
CGD:CAL0000179833	UniProtKB:A0A1D8PCI8
CGD:CAL0000179837	UniProtKB:A0A1D8PCP7
CGD:CAL0000193859	UniProtKB:A0A1D8PRQ2
CGD:CAL0000179847	UniProtKB:Q5AGF9
CGD:CAL0000193865	UniProtKB:A0A1D8PH95
CGD:CAL0000179851	UniProtKB:A0A1D8PGP7
CGD:CAL0000193867	UniProtKB:A0A1D8PHB9
CGD:CAL0000193869	UniProtKB:A0A1D8PMU4
CGD:CAL0000179853	UniProtKB:Q5A399
CGD:CAL0000193876	UniProtKB:A0A1D8PQF0
CGD:CAL0000193884	UniProtKB:A0A1D8PL41
CGD:CAL0000193886	UniProtKB:A0A1D8PEK8
CGD:CAL0000193892	UniProtKB:A0A1D8PLC3
CGD:CAL0000193894	UniProtKB:Q5AKV4
CGD:CAL0000179859	UniProtKB:A0A1D8PHQ0
CGD:CAL0000193898	UniProtKB:Q5AAW1
CGD:CAL0000193896	UniProtKB:A0A1D8PDM8
CGD:CAL0000179863	UniProtKB:A0A1D8PTX2
CGD:CAL0000179865	UniProtKB:A0A1D8PPB9
CGD:CAL0000179867	UniProtKB:A0A1D8PP27
CGD:CAL0000179869	UniProtKB:A0A1D8PKH1
CGD:CAL0000193900	UniProtKB:A0A1D8PJF7
CGD:CAL0000193902	UniProtKB:A0A1D8PJV7
CGD:CAL0000179873	UniProtKB:A0A1D8PGX9
CGD:CAL0000193912	UniProtKB:Q59WC8
CGD:CAL0000193910	UniProtKB:Q5AAN6
CGD:CAL0000193914	UniProtKB:A0A1D8PD04
CGD:CAL0000179877	UniProtKB:A0A1D8PS75
CGD:CAL0000193918	UniProtKB:Q59SI4
CGD:CAL0000179885	UniProtKB:Q59QD0
CGD:CAL0000179889	UniProtKB:A0A1D8PPX1
CGD:CAL0000179899	UniProtKB:A0A1D8PGP8
CGD:CAL0000179903	UniProtKB:A0A1D8PPM9
CGD:CAL0000179907	UniProtKB:A0A1D8PTB0
CGD:CAL0000179911	UniProtKB:A0A1D8PPQ3
CGD:CAL0000193936	UniProtKB:Q5AB94
CGD:CAL0000179919	UniProtKB:Q5A315
CGD:CAL0000193946	UniProtKB:A0A1D8PL58
CGD:CAL0000179921	UniProtKB:Q5AP67
CGD:CAL0000179923	UniProtKB:A0A1D8PTV9
CGD:CAL0000193948	UniProtKB:Q5APF1
CGD:CAL0000179925	UniProtKB:A0A1D8PHZ3
CGD:CAL0000193960	UniProtKB:A0A1D8PDL0
CGD:CAL0000179931	UniProtKB:A0A1D8PHP4
CGD:CAL0000193968	UniProtKB:Q59QN4
CGD:CAL0000179941	UniProtKB:A0A1D8PFN5
CGD:CAL0000179939	UniProtKB:Q59X09
CGD:CAL0000179943	UniProtKB:Q5AMP5
CGD:CAL0000179945	UniProtKB:A0A1D8PET9
CGD:CAL0000179951	UniProtKB:Q5AKW5
CGD:CAL0000193980	UniProtKB:A0A1D8PM68
CGD:CAL0000193978	UniProtKB:A0A1D8PJN7
CGD:CAL0000193986	UniProtKB:A0A1D8PTG0
CGD:CAL0000193984	UniProtKB:Q5AF71
CGD:CAL0000193982	UniProtKB:A0A1D8PJF5
CGD:CAL0000193990	UniProtKB:A0A1D8PLS6
CGD:CAL0000179957	UniProtKB:A0A1D8PG97
CGD:CAL0000179961	UniProtKB:A0A1D8PU39
CGD:CAL0000194004	UniProtKB:A0A1D8PN34
CGD:CAL0000179965	UniProtKB:Q59LZ6
CGD:CAL0000194006	UniProtKB:Q5A5R5
CGD:CAL0000179971	UniProtKB:Q5A386
CGD:CAL0000179973	UniProtKB:A0A1D8PNB0
CGD:CAL0000179975	UniProtKB:A0A1D8PNM1
CGD:CAL0000179981	UniProtKB:Q59Q33
CGD:CAL0000194014	UniProtKB:Q5AA21
CGD:CAL0000179983	UniProtKB:A0A1D8PEE6
CGD:CAL0000194016	UniProtKB:Q5AIB8
CGD:CAL0000179987	UniProtKB:A0A1D8PQ80
CGD:CAL0000179989	UniProtKB:A0A1D8PE92
CGD:CAL0000179997	UniProtKB:A0A1D8PTX3
CGD:CAL0000194034	UniProtKB:Q5ADR3
CGD:CAL0000194032	UniProtKB:A0A1D8PER2
CGD:CAL0000180001	UniProtKB:Q5ALV6
CGD:CAL0000179999	UniProtKB:A0A1D8PHT6
CGD:CAL0000194040	UniProtKB:Q5A8Y7
CGD:CAL0000194042	UniProtKB:A0A1D8PQR5
CGD:CAL0000194048	UniProtKB:Q5ALV0
CGD:CAL0000194050	UniProtKB:A0A1D8PE96
CGD:CAL0000180005	UniProtKB:Q5A207
CGD:CAL0000194052	UniProtKB:A0A1D8PF20
CGD:CAL0000194060	UniProtKB:A0A1D8PMU0
CGD:CAL0000194064	UniProtKB:A0A1D8PDB5
CGD:CAL0000194066	UniProtKB:A0A1D8PCP6
CGD:CAL0000194068	UniProtKB:Q59Q42
CGD:CAL0000180017	UniProtKB:A0A1D8PMZ3
CGD:CAL0000180019	UniProtKB:A0A1D8PFM9
CGD:CAL0000180025	UniProtKB:A0A1D8PHI0
CGD:CAL0000194092	UniProtKB:A0A1D8PNT7
CGD:CAL0000194097	UniProtKB:A0A1D8PJP6
CGD:CAL0000180035	UniProtKB:Q59VZ4
CGD:CAL0000180039	UniProtKB:A0A1D8PFJ5
CGD:CAL0000180055	UniProtKB:A0A1D8PME5
CGD:CAL0000194103	UniProtKB:A0A1D8PNH1
CGD:CAL0000180057	UniProtKB:A0A1D8PII2
CGD:CAL0000194121	UniProtKB:Q5A6P1
CGD:CAL0000194119	UniProtKB:A0A1D8PCQ2
CGD:CAL0000180066	UniProtKB:A0A1D8PRG7
CGD:CAL0000194129	UniProtKB:A0A1D8PSI7
CGD:CAL0000180070	UniProtKB:A0A1D8PMH1
CGD:CAL0000180074	UniProtKB:Q59QN6
CGD:CAL0000180076	UniProtKB:Q5A1C1
CGD:CAL0000180080	UniProtKB:Q59VM6
CGD:CAL0000180078	UniProtKB:Q5A2A0
CGD:CAL0000180086	UniProtKB:A0A1D8PDQ5
CGD:CAL0000180088	UniProtKB:Q59PZ5
CGD:CAL0000180090	UniProtKB:A0A1D8PHP3
CGD:CAL0000194135	UniProtKB:Q5AMH1
CGD:CAL0000194133	UniProtKB:A0A1D8PJ73
CGD:CAL0000194141	UniProtKB:A0A1D8PQE1
CGD:CAL0000194145	UniProtKB:A0A1D8PLC6
CGD:CAL0000194143	UniProtKB:Q5AA23
CGD:CAL0000180100	UniProtKB:Q59YH1
CGD:CAL0000180102	UniProtKB:A0A1D8PD61
CGD:CAL0000180104	UniProtKB:Q5A2S9
CGD:CAL0000194149	UniProtKB:Q5A4L1
CGD:CAL0000180106	UniProtKB:A0A1D8PLR0
CGD:CAL0000194158	UniProtKB:Q5AK98
CGD:CAL0000180108	UniProtKB:Q5A6P5
CGD:CAL0000194164	UniProtKB:A0A1D8PHY3
CGD:CAL0000180110	UniProtKB:A0A1D8PD35
CGD:CAL0000180112	UniProtKB:Q5AH14
CGD:CAL0000180114	UniProtKB:A0A1D8PJD2
CGD:CAL0000180118	UniProtKB:Q5AK00
CGD:CAL0000194173	UniProtKB:Q5ADW5
CGD:CAL0000180122	UniProtKB:A0A1D8PGW4
CGD:CAL0000180132	UniProtKB:A0A1D8PU13
CGD:CAL0000180134	UniProtKB:A0A1D8PFI2
CGD:CAL0000180140	UniProtKB:A0A1D8PKW9
CGD:CAL0000180144	UniProtKB:A0A1D8PTP0
CGD:CAL0000180146	UniProtKB:Q59WT3
CGD:CAL0000180152	UniProtKB:A0A1D8PFU7
CGD:CAL0000180150	UniProtKB:A0A1D8PHW6
CGD:CAL0000180154	UniProtKB:A0A1D8PTU9
CGD:CAL0000194200	UniProtKB:A0A1D8PHS3
CGD:CAL0000180162	UniProtKB:A0A1D8PPF9
CGD:CAL0000194216	UniProtKB:A0A1D8PD11
CGD:CAL0000180176	UniProtKB:Q5AP69
CGD:CAL0000194220	UniProtKB:Q5ANE7
CGD:CAL0000194218	UniProtKB:A0A1D8PF61
CGD:CAL0000180178	UniProtKB:Q5AHE9
CGD:CAL0000180180	UniProtKB:Q59L46
CGD:CAL0000194226	UniProtKB:Q5A017
CGD:CAL0000180182	UniProtKB:Q59UY8
CGD:CAL0000180184	UniProtKB:A0A1D8PPN7
CGD:CAL0000194228	UniProtKB:A0A1D8PCR0
CGD:CAL0000180196	UniProtKB:A0A1D8PDP2
CGD:CAL0000180200	UniProtKB:A0A1D8PR50
CGD:CAL0000194232	UniProtKB:A0A1D8PR11
CGD:CAL0000194236	UniProtKB:A0A1D8PM07
CGD:CAL0000194240	UniProtKB:A0A1D8PML3
CGD:CAL0000194246	UniProtKB:A0A1D8PCD8
CGD:CAL0000180208	UniProtKB:A0A1D8PHT1
CGD:CAL0000180210	UniProtKB:A0A1D8PSC6
CGD:CAL0000194250	UniProtKB:A0A1D8PCC1
CGD:CAL0000194258	UniProtKB:Q59T38
CGD:CAL0000180218	UniProtKB:Q5AD04
CGD:CAL0000194262	UniProtKB:A0A1D8PH70
CGD:CAL0000180220	UniProtKB:A0A1D8PNU1
CGD:CAL0000194268	UniProtKB:A0A1D8PIJ0
CGD:CAL0000194274	UniProtKB:A0A1D8PJ87
CGD:CAL0000194272	UniProtKB:Q5A7R0
CGD:CAL0000194280	UniProtKB:A0A1D8PN08
CGD:CAL0000180234	UniProtKB:Q5AMR4
CGD:CAL0000194282	UniProtKB:Q5ANH0
CGD:CAL0000180236	UniProtKB:A0A1D8PTT5
CGD:CAL0000180239	UniProtKB:Q5AJC4
CGD:CAL0000194290	UniProtKB:Q5AB78
CGD:CAL0000194294	UniProtKB:A0A1D8PRQ5
CGD:CAL0000180245	UniProtKB:A0A1D8PFN9
CGD:CAL0000194298	UniProtKB:Q5A8Y6
CGD:CAL0000194308	UniProtKB:A0A1D8PKA3
CGD:CAL0000194312	UniProtKB:A0A1D8PRR2
CGD:CAL0000194310	UniProtKB:A0A1D8PJJ8
CGD:CAL0000180254	UniProtKB:A0A1D8PL62
CGD:CAL0000194318	UniProtKB:A0A1D8PRZ3
CGD:CAL0000194326	UniProtKB:A0A1D8PMB6
CGD:CAL0000194324	UniProtKB:Q5A934
CGD:CAL0000180260	UniProtKB:A0A1D8PIG5
CGD:CAL0000180262	UniProtKB:Q59LT5
CGD:CAL0000194330	UniProtKB:A0A1D8PI66
CGD:CAL0000194332	UniProtKB:Q5AHZ4
CGD:CAL0000180266	UniProtKB:Q59W60
CGD:CAL0000194338	UniProtKB:Q59Y64
CGD:CAL0000180268	UniProtKB:A0A1D8PSJ5
CGD:CAL0000180272	UniProtKB:Q5ABE6
CGD:CAL0000194343	UniProtKB:A0A1D8PRF3
CGD:CAL0000194341	UniProtKB:A0A1D8PIS7
CGD:CAL0000194345	UniProtKB:A0A1D8PH22
CGD:CAL0000180274	UniProtKB:A0A1D8PDL9
CGD:CAL0000194357	UniProtKB:A0A1D8PSE1
CGD:CAL0000194355	UniProtKB:A0A1D8PMT5
CGD:CAL0000180276	UniProtKB:Q5A759
CGD:CAL0000180278	UniProtKB:A0A1D8PLI2
CGD:CAL0000194362	UniProtKB:A0A1D8PDQ9
CGD:CAL0000194365	UniProtKB:A0A1D8PSM7
CGD:CAL0000180286	UniProtKB:A0A1D8PIC8
CGD:CAL0000194373	UniProtKB:A0A1D8PQL0
CGD:CAL0000194369	UniProtKB:A0A1D8PDE1
CGD:CAL0000180290	UniProtKB:Q59N83
CGD:CAL0000180292	UniProtKB:Q5AND6
CGD:CAL0000194375	UniProtKB:Q5A7L4
CGD:CAL0000194377	UniProtKB:Q59NQ5
CGD:CAL0000180294	UniProtKB:A0A1D8PKA4
CGD:CAL0000194379	UniProtKB:A0A1D8PMB7
CGD:CAL0000180296	UniProtKB:A0A1D8PGM7
CGD:CAL0000180312	UniProtKB:A0A1D8PL05
CGD:CAL0000194391	UniProtKB:Q5AFA9
CGD:CAL0000194395	UniProtKB:A0A1D8PN03
CGD:CAL0000180326	UniProtKB:Q5ADT5
CGD:CAL0000180328	UniProtKB:Q59VY5
CGD:CAL0000194399	UniProtKB:A0A1D8PTV1
CGD:CAL0000180340	UniProtKB:Q59RK1
CGD:CAL0000180342	UniProtKB:Q5A7K0
CGD:CAL0000194407	UniProtKB:Q5A9Z7
CGD:CAL0000180350	UniProtKB:Q5ADU7
CGD:CAL0000180352	UniProtKB:A0A1D8PH30
CGD:CAL0000180354	UniProtKB:A0A1D8PSW8
CGD:CAL0000180356	UniProtKB:Q5AKZ2
CGD:CAL0000194427	UniProtKB:Q5AMK4
CGD:CAL0000194436	UniProtKB:Q59PS6
CGD:CAL0000194432	UniProtKB:A0A1D8PJV5
CGD:CAL0000194430	UniProtKB:Q5AAW5
CGD:CAL0000194444	UniProtKB:A0A1D8PEZ5
CGD:CAL0000194446	UniProtKB:A0A1D8PC79
CGD:CAL0000180372	UniProtKB:Q5ANB5
CGD:CAL0000194450	UniProtKB:A0A1D8PNE5
CGD:CAL0000180376	UniProtKB:A0A1D8PG60
CGD:CAL0000180378	UniProtKB:Q5AMS2
CGD:CAL0000180380	UniProtKB:Q59LK7
CGD:CAL0000180384	UniProtKB:A0A1D8PQ66
CGD:CAL0000180386	UniProtKB:A0A1D8PNG1
CGD:CAL0000194458	UniProtKB:A0A1D8PP39
CGD:CAL0000180388	UniProtKB:A0A1D8PT02
CGD:CAL0000194465	UniProtKB:Q5AL54
CGD:CAL0000180394	UniProtKB:A0A1D8PG18
CGD:CAL0000180420	UniProtKB:A0A1D8PP13
CGD:CAL0000180422	UniProtKB:Q5ADT0
CGD:CAL0000194483	UniProtKB:A0A1D8PEN6
CGD:CAL0000194495	UniProtKB:Q5ANN8
CGD:CAL0000194497	UniProtKB:Q5A371
CGD:CAL0000194501	UniProtKB:A0A1D8PJF3
CGD:CAL0000194503	UniProtKB:A0A1D8PK90
CGD:CAL0000194505	UniProtKB:A0A1D8PHF9
CGD:CAL0000194507	UniProtKB:A0A1D8PLA7
CGD:CAL0000194513	UniProtKB:A0A1D8PNR0
CGD:CAL0000180438	UniProtKB:A0A1D8PMH8
CGD:CAL0000180443	UniProtKB:A0A1D8PQ94
CGD:CAL0000180445	UniProtKB:A0A1D8PQP3
CGD:CAL0000180447	UniProtKB:A0A1D8PFY5
CGD:CAL0000180451	UniProtKB:A0A1D8PU69
CGD:CAL0000194521	UniProtKB:A0A1D8PQP9
CGD:CAL0000194529	UniProtKB:A0A1D8PQJ0
CGD:CAL0000194531	UniProtKB:A0A1D8PH44
CGD:CAL0000194542	UniProtKB:A0A1D8PSG8
CGD:CAL0000180468	UniProtKB:Q59YG0
CGD:CAL0000180470	UniProtKB:A0A1D8PKI0
CGD:CAL0000180472	UniProtKB:A0A1D8PTR4
CGD:CAL0000180474	UniProtKB:A0A1D8PTP3
CGD:CAL0000180476	UniProtKB:A0A1D8PM94
CGD:CAL0000194550	UniProtKB:Q59NC4
CGD:CAL0000194554	UniProtKB:A0A1D8PS07
CGD:CAL0000194556	UniProtKB:A0A1D8PDC2
CGD:CAL0000180482	UniProtKB:Q5A954
CGD:CAL0000180484	UniProtKB:Q5A4P2
CGD:CAL0000180486	UniProtKB:A0A1D8PM77
CGD:CAL0000194562	UniProtKB:A0A1D8PM13
CGD:CAL0000180488	UniProtKB:A0A1D8PU18
CGD:CAL0000180490	UniProtKB:Q59YF9
CGD:CAL0000180498	UniProtKB:A0A1D8PQN6
CGD:CAL0000180500	UniProtKB:Q5AHZ1
CGD:CAL0000180502	UniProtKB:Q5A0I6
CGD:CAL0000194572	UniProtKB:A0A1D8PKD3
CGD:CAL0000194585	UniProtKB:Q5ADM4
CGD:CAL0000194591	UniProtKB:Q59VY4
CGD:CAL0000194595	UniProtKB:A0A1D8PEF8
CGD:CAL0000194609	UniProtKB:Q5A2B1
CGD:CAL0000194613	UniProtKB:Q5A199
CGD:CAL0000194611	UniProtKB:A0A1D8PDY0
CGD:CAL0000180524	UniProtKB:Q5A938
CGD:CAL0000194615	UniProtKB:A0A1D8PI10
CGD:CAL0000180528	UniProtKB:A0A1D8PLJ9
CGD:CAL0000180530	UniProtKB:A0A1D8PGG2
CGD:CAL0000194625	UniProtKB:A0A1D8PLX8
CGD:CAL0000180532	UniProtKB:A0A1D8PJ35
CGD:CAL0000180534	UniProtKB:Q5A7A9
CGD:CAL0000194631	UniProtKB:A0A1D8PGY0
CGD:CAL0000194637	UniProtKB:A0A1D8PFV8
CGD:CAL0000194639	UniProtKB:A0A1D8PDM2
CGD:CAL0000194643	UniProtKB:A0A1D8PMV1
CGD:CAL0000194649	UniProtKB:Q5A9C1
CGD:CAL0000180542	UniProtKB:A0A1D8PSZ0
CGD:CAL0000194655	UniProtKB:A0A1D8PTD8
CGD:CAL0000194659	UniProtKB:Q5A845
CGD:CAL0000180548	UniProtKB:A0A1D8PPU9
CGD:CAL0000194665	UniProtKB:Q5ADM0
CGD:CAL0000180552	UniProtKB:Q5A7N7
CGD:CAL0000180558	UniProtKB:A0A1D8PNA1
CGD:CAL0000180560	UniProtKB:Q59RL1
CGD:CAL0000194669	UniProtKB:Q5A9C6
CGD:CAL0000180566	UniProtKB:A0A1D8PPV4
CGD:CAL0000180572	UniProtKB:A0A1D8PTQ2
CGD:CAL0000180574	UniProtKB:A0A1D8PF29
CGD:CAL0000194680	UniProtKB:Q59Q44
CGD:CAL0000194684	UniProtKB:A0A1D8PLV0
CGD:CAL0000180578	UniProtKB:A0A1D8PNM3
CGD:CAL0000180582	UniProtKB:Q59P48
CGD:CAL0000180586	UniProtKB:A0A1D8PEM3
CGD:CAL0000180588	UniProtKB:A0A1D8PMH2
CGD:CAL0000194693	UniProtKB:A0A1D8PCR4
CGD:CAL0000194697	UniProtKB:Q5AGX4
CGD:CAL0000180590	UniProtKB:Q59NG2
CGD:CAL0000194699	UniProtKB:A0A1D8PUC0
CGD:CAL0000194701	UniProtKB:A0A1D8PS81
CGD:CAL0000180600	UniProtKB:A0A1D8PR16
CGD:CAL0000180602	UniProtKB:Q59QS1
CGD:CAL0000194707	UniProtKB:Q5AL00
CGD:CAL0000194705	UniProtKB:Q5ALX6
CGD:CAL0000194711	UniProtKB:A0A1D8PJ59
CGD:CAL0000194715	UniProtKB:A0A1D8PDP3
CGD:CAL0000194713	UniProtKB:A0A1D8PD96
CGD:CAL0000194719	UniProtKB:A0A1D8PTJ9
CGD:CAL0000180606	UniProtKB:A0A1D8PL98
CGD:CAL0000194737	UniProtKB:A0A1D8PRI9
CGD:CAL0000194733	UniProtKB:A0A1D8PC73
CGD:CAL0000180622	UniProtKB:A0A1D8PJM5
CGD:CAL0000180624	UniProtKB:A0A1D8PTP4
CGD:CAL0000194750	UniProtKB:A0A1D8PQ86
CGD:CAL0000194758	UniProtKB:A0A1D8PQR2
CGD:CAL0000180632	UniProtKB:Q59N43
CGD:CAL0000180634	UniProtKB:A0A1D8PME8
CGD:CAL0000194762	UniProtKB:A0A1D8PQ75
CGD:CAL0000194768	UniProtKB:Q59SU0
CGD:CAL0000194766	UniProtKB:A0A1D8PHS6
CGD:CAL0000194770	UniProtKB:A0A1D8PJR2
CGD:CAL0000180636	UniProtKB:A0A1D8PGH8
CGD:CAL0000180638	UniProtKB:A0A1D8PT65
CGD:CAL0000180642	UniProtKB:A0A1D8PSQ6
CGD:CAL0000194782	UniProtKB:A0A1D8PJG0
CGD:CAL0000180644	UniProtKB:Q59Z69
CGD:CAL0000194784	UniProtKB:A0A1D8PI53
CGD:CAL0000180646	UniProtKB:A0A1D8PMZ6
CGD:CAL0000194786	UniProtKB:A0A1D8PH84
CGD:CAL0000180650	UniProtKB:A0A1D8PCM7
CGD:CAL0000194802	UniProtKB:A0A1D8PU45
CGD:CAL0000180657	UniProtKB:Q5A911
CGD:CAL0000194812	UniProtKB:Q5AA13
CGD:CAL0000180659	UniProtKB:A0A1D8PU64
CGD:CAL0000194816	UniProtKB:A0A1D8PP23
CGD:CAL0000180661	UniProtKB:Q5AFD1
CGD:CAL0000194822	UniProtKB:Q59N44
CGD:CAL0000180667	UniProtKB:A0A1D8PRB7
CGD:CAL0000180669	UniProtKB:Q5A647
CGD:CAL0000194824	UniProtKB:Q5AND0
CGD:CAL0000180673	UniProtKB:Q5A0W0
CGD:CAL0000194828	UniProtKB:A0A1D8PI62
CGD:CAL0000194832	UniProtKB:Q5AK46
CGD:CAL0000180683	UniProtKB:A0A1D8PFL4
CGD:CAL0000194840	UniProtKB:Q59RN8
CGD:CAL0000180685	UniProtKB:Q5AC22
CGD:CAL0000180687	UniProtKB:Q5ADP4
CGD:CAL0000180689	UniProtKB:Q5AHD5
CGD:CAL0000180692	UniProtKB:A0A1D8PPG7
CGD:CAL0000194846	UniProtKB:A0A1D8PU68
CGD:CAL0000194848	UniProtKB:A0A1D8PQC6
CGD:CAL0000180706	UniProtKB:A0A1D8PRB6
CGD:CAL0000180708	UniProtKB:A0A1D8PQL3
CGD:CAL0000194856	UniProtKB:A0A1D8PEG0
CGD:CAL0000180710	UniProtKB:Q5A504
CGD:CAL0000194861	UniProtKB:A0A1D8PF67
CGD:CAL0000194863	UniProtKB:A0A1D8PDD8
CGD:CAL0000194867	UniProtKB:A0A1D8PNW1
CGD:CAL0000180720	UniProtKB:A0A1D8PH27
CGD:CAL0000180724	UniProtKB:Q5AEJ3
CGD:CAL0000180728	UniProtKB:A0A1D8PFY6
CGD:CAL0000180730	UniProtKB:Q5A5T3
CGD:CAL0000194877	UniProtKB:A0A1D8PLD7
CGD:CAL0000194883	UniProtKB:Q59RR7
CGD:CAL0000194881	UniProtKB:A0A1D8PEH7
CGD:CAL0000180732	UniProtKB:A0A1D8PHL9
CGD:CAL0000194890	UniProtKB:Q59VP4
CGD:CAL0000180736	UniProtKB:A0A1D8PQW6
CGD:CAL0000194894	UniProtKB:Q5AND4
CGD:CAL0000180752	UniProtKB:Q5A8L5
CGD:CAL0000180754	UniProtKB:Q5ADY0
CGD:CAL0000194902	UniProtKB:Q59V85
CGD:CAL0000180756	UniProtKB:Q59WE1
CGD:CAL0000180758	UniProtKB:A0A1D8PII5
CGD:CAL0000180766	UniProtKB:A0A1D8PQ08
CGD:CAL0000180770	UniProtKB:A0A1D8PEJ5
CGD:CAL0000194906	UniProtKB:A0A1D8PH17
CGD:CAL0000180772	UniProtKB:A0A1D8PL50
CGD:CAL0000180776	UniProtKB:A0A1D8PNG2
CGD:CAL0000180800	UniProtKB:A0A1D8PJH4
CGD:CAL0000180798	UniProtKB:A0A1D8PNL8
CGD:CAL0000194924	UniProtKB:Q5AH07
CGD:CAL0000180804	UniProtKB:A0A1D8PNG6
CGD:CAL0000180806	UniProtKB:Q59UH8
CGD:CAL0000180808	UniProtKB:Q5AF55
CGD:CAL0000194928	UniProtKB:A0A1D8PNJ2
CGD:CAL0000180814	UniProtKB:A0A1D8PDE8
CGD:CAL0000194939	UniProtKB:A0A1D8PGS6
CGD:CAL0000180818	UniProtKB:A0A1D8PIE2
CGD:CAL0000194943	UniProtKB:A0A1D8PGB8
CGD:CAL0000180820	UniProtKB:A0A1D8PGR3
CGD:CAL0000180822	UniProtKB:Q59ZG6
CGD:CAL0000180826	UniProtKB:Q59PV8
CGD:CAL0000194949	UniProtKB:A0A1D8PD55
CGD:CAL0000194947	UniProtKB:Q5A3N5
CGD:CAL0000180828	UniProtKB:Q5A7N9
CGD:CAL0000180832	UniProtKB:Q59TN2
CGD:CAL0000194951	UniProtKB:Q5ALV9
CGD:CAL0000194953	UniProtKB:A0A1D8PTH2
CGD:CAL0000194955	UniProtKB:A0A1D8PIE5
CGD:CAL0000194959	UniProtKB:A0A1D8PMC9
CGD:CAL0000194963	UniProtKB:A0A1D8PS46
CGD:CAL0000194961	UniProtKB:A0A1D8PG06
CGD:CAL0000194965	UniProtKB:A0A1D8PS08
CGD:CAL0000180848	UniProtKB:Q59SJ6
CGD:CAL0000194973	UniProtKB:Q5A397
CGD:CAL0000180850	UniProtKB:A0A1D8PNC7
CGD:CAL0000194979	UniProtKB:A0A1D8PU14
CGD:CAL0000180854	UniProtKB:A0A1D8PTF7
CGD:CAL0000194981	UniProtKB:Q5A0H8
