XP_002550857.1	C5MGG2
XP_004967670.1	K3XFP7
XP_717657.1	Q5A741
XP_002548991.1	C5MB46
XP_002448794.1	C5YAM9
XP_004969529.1	K3XHB6
XP_002547644.1	C5M4X3
XP_004982807.1	K4A507
XP_004965434.1	K3Y124
NP_001146072.1	B7ZZ11
XP_003403541.1	Q6ZNX4
WP_038658866.1	A0A097ECT8
XP_012704146.1	K3YRF5
XP_002548706.1	C5M9D1
XP_006689896.1	G3BFF9
XP_002456859.1	C5XGC0
XP_002545312.1	C5M204
XP_002550669.1	C5MFX4
XP_004960155.1	K3Z608
XP_002546030.1	C5M422
XP_002546029.1	C5M421
XP_002549079.1	C5MBD4
XP_004975074.1	K3Y782
XP_002550529.1	C5MFI4
XP_002551210.1	C5MHF4
XP_002468623.1	C5X0Y2
XP_004979420.1	K3ZNL0
XP_004964759.1	K3XV72
XP_004959674.1	K4A1Y0
XP_004956935.1	K3ZSC8
XP_004964198.3	K3ZD36
XP_004984712.1	K4A885
NP_001169587.1	C0PG74
XP_002550080.1	C5ME85
XP_002548540.1	C5M8W5
XP_002546427.1	C5MIL2
NP_001144019.1	B6TJF5
XP_004961549.1	K3Z6M4
XP_004983187.1	K4AD17
XP_004982265.1	K4A567
NP_001151439.1	B6U0J9
XP_015620081.1	Q2QMX9
XP_004983966.1	K4A7M6
XP_004968641.1	K3XEU9
XP_004958557.1	K3ZVA6
XP_002548309.1	C5M884
XP_012703060.1	K3YP71
XP_004956221.1	K3ZR17
XP_004976119.1	K3YC01
XP_004970979.1	K3XJJ7
XP_004960393.1	K3Z942
XP_002547553.1	C5M7M8
XP_004973368.1	K3YJ97
XP_004961275.1	K3Z5C8
XP_002546602.1	C5MJ37
XP_002549379.1	C5MC84
XP_004953416.1	K3YR42
XP_003580954.2	A0A0Q3KNP3
XP_004964386.1	K3XVD5
WP_061480254.1	A0A149Q6R2
XP_004957967.1	K3ZQI0
XP_004955725.1	K3ZS76
XP_004985210.1	K4A4S6
XP_002453597.1	C5XZ01
XP_004976303.1	K3Y807
XP_004969601.1	K3XDW3
XP_002548994.1	C5MB49
XP_002547286.1	C5M6W1
NP_001140400.1	B4FNQ6
XP_004957789.1	K3ZRV2
XP_012699443.1	K3ZQ93
XP_004955199.1	K3YZ71
XP_004958313.1	K3ZT38
XP_004954194.1	K3YP85
XP_004976076.1	K3Y9T8
XP_004969910.1	K3XE30
XP_002546112.1	C5M4A4
XP_004971147.1	K3XEM3
XP_014660421.1	K3Z8V3
XP_004982725.1	K4ACT2
XP_002549009.1	C5MB64
XP_002548557.1	C5M8Y2
XP_014752742.1	I1GNM8
WP_013024588.1	A0A0E9B2Z9
WP_013024588.1	A0A0N1RYY6
WP_013024588.1	D4GJQ1
XP_003562272.1	I1GKU4
XP_002445202.1	C5YIH2
XP_004969214.1	K3XEQ4
XP_002550688.1	C5MFZ3
XP_001482854.1	A5DNF8
XP_004970111.1	K3XH05
XP_004962877.1	K3Z3V4
XP_004968881.1	K3XH06
XP_004965179.1	K3XWJ8
XP_004962547.1	K3Z5T3
XP_002547288.1	C5M6W3
XP_001765812.1	A9SHA7
XP_004953626.1	K3YUL6
XP_004979799.1	K3ZHD9
XP_004984390.1	K4A5P4
NP_001333712.1	A0A1D6NKS9
XP_015630639.1	P40978
XP_002551061.1	C5MH05
XP_002489126.1	C6JS24
XP_004982916.1	K4A4Z9
XP_004966476.1	K3XWA2
XP_004961412.1	K3ZEJ0
XP_012699295.1	K3ZX66
XP_015633681.1	Q7XUA1
XP_003623219.2	G7L6J3
XP_004961099.1	K3Z3F4
XP_004966252.1	K3XZT2
XP_008675501.1	A0A1D6NMI6
XP_012700728.1	K3Y292
XP_004965104.1	K3XYG6
XP_002545896.1	C5M3N8
XP_004976833.1	K3Y570
XP_002546521.1	C5MIV6
XP_004958237.1	K3ZS10
XP_004975689.1	K3Y631
XP_004973529.1	K3YMN3
XP_004969123.1	K3XDS5
XP_004952733.1	K3YRP5
XP_004966863.2	K3XV33
WP_061062868.1	A0A0X8Q8Q5
XP_004960019.1	K3Z4D2
XP_002551473.1	C5MI78
XP_004954530.1	K3YQE6
XP_002436403.1	C5Z396
XP_003573606.1	I1I2B1
XP_015631367.1	Q84TA1
XP_004972482.1	K3YGD9
XP_004984461.1	K4A7Z7
XP_002545826.1	C5M3G8
XP_012467041.1	A0A0D2N409
XP_001950837.4	X1WSN9
XP_002551229.1	C5MHH3
XP_004983205.1	K4AC16
XP_004970585.1	K3XIG4
XP_004973832.1	K3YM02
XP_012081631.1	A0A067K0V7
XP_004987388.1	K3Z2F8
XP_004984363.1	K4AF92
XP_004961507.1	K3Z5H9
XP_004974242.1	K3YH53
WP_006121144.1	A0A0A6WAB9
WP_006121144.1	H3RI10
XP_004983905.1	K4A9M5
XP_004968689.1	K3XEL3
XP_004977057.1	K3Y5Q8
XP_003566184.2	A0A0Q3MP58
NP_001141002.1	B4FSQ3
XP_012703009.1	K3Y8I4
XP_004981466.1	K4A707
NP_001168344.1	C0P4H8
XP_004984442.1	K4A9I3
XP_012699696.1	K3ZU41
XP_015620151.1	Q2QM64
XP_004979284.1	K3ZIY6
XP_004953893.1	K3YR57
XP_010233985.1	A0A0Q3HKM4
XP_006652944.1	J3M279
NP_001141459.1	B4FWB9
XP_004970385.1	K3XGV5
WP_039339017.1	A0A0A6W8N3
XP_002549616.1	C5MCG2
XP_002548741.1	C5MAE6
XP_004970919.1	K3XIT9
XP_002421615.1	B9WKK4
XP_002548458.1	C5M8N3
XP_004969414.1	K3XH92
XP_004972240.1	K3XRG9
XP_004967474.1	K3XIV6
XP_004956235.1	K3ZRQ0
WP_009549750.1	H5WHZ1
XP_002489257.1	C6JRM0
XP_002437554.1	C5Z998
XP_014660042.1	K4A612
XP_713663.1	Q59VN4
XP_004972862.1	K3YG11
XP_004959886.1	K3ZQZ7
XP_004985228.1	K4A7U9
XP_004962749.1	K3Z399
XP_002618223.1	C4Y0F0
XP_004981263.1	K4A783
XP_003591834.1	G7I4X2
XP_004970068.1	K3XSF3
NP_001141893.1	B4FYQ7
XP_004962407.1	K3Z545
XP_004951559.1	K3YU41
XP_012702562.1	K3YFY2
XP_004971451.1	K3XEC9
XP_002545292.1	C5M1Y4
XP_004981478.1	K4A615
XP_002547065.1	C5M690
XP_002549392.1	C5MC97
XP_002545753.1	C5M395
WP_061503168.1	A0A127JY67
XP_002547015.1	C5M640
XP_002549401.1	C5MCA6
XP_012701178.1	K3XI90
XP_004979125.1	K3ZHR3
XP_004981489.1	K4A6F3
WP_061063474.1	A0A120LPP1
XP_004957084.2	K4A1G3
XP_002547164.1	C5M6I9
XP_006654846.1	J3MA52
XP_004969832.1	K3XGJ3
XP_008663089.1	K7U2E4
XP_004962119.1	K3Z6R5
XP_004982397.1	K4A8C2
XP_004962306.1	K3Z5Y5
XP_004954007.1	K3YRV4
XP_004982211.1	K4A540
XP_008652534.1	A0A1D6I1N6
XP_004985092.1	K4A510
XP_002441371.1	C5Z0X5
XP_002549052.1	C5MBA7
XP_004979846.1	K3ZHU8
XP_008645883.1	A0A096QRT2
XP_004976196.1	K3Y5X8
XP_002549042.1	C5MB97
XP_004979833.1	K3ZHQ8
XP_008649380.1	A0A1D6LZB5
XP_002547600.1	C5M7S5
XP_002545940.1	C5M3T2
XP_004963270.1	K3Z357
XP_002446124.1	C5YCN5
XP_004969995.1	K3XLH0
XP_004961637.1	K3Z606
XP_004965911.1	K3XY59
XP_004971091.1	K3XIT1
XP_004978370.1	K3YC63
XP_004981683.1	K4AMJ2
XP_004976550.1	K3Y5C9
XP_002462999.1	C5XAX7
XP_004952309.1	K3YPS3
XP_004963872.1	K3Z4X2
XP_002550845.1	C5MGF0
XP_012703819.1	K3ZH36
XP_004965073.1	K3Y359
XP_004980958.1	K4A7I4
XP_002548080.1	C5MA65
XP_004952640.1	K3YTG6
XP_002547022.1	C5M647
XP_004958203.1	K3ZR51
XP_004960853.1	K3Z3T4
XP_004976996.1	K3Y9L7
XP_016290897.1	V5ESH3
XP_002437598.1	C5Z1W2
XP_004957750.1	K3ZQ39
XP_002548457.1	C5M8N2
XP_004958613.1	K3ZU09
XP_004983758.1	K4ACD7
XP_002547063.1	C5M688
XP_004981488.1	K4AMK8
NP_001131267.1	B4FBV8
NP_001146033.1	B7ZYS2
XP_004969666.1	K3XED1
XP_004962505.1	K3Z3T6
XP_018211886.1	A0A1B7SKQ9
XP_004961859.1	K3Z4V9
XP_008652672.1	A0A1D6I3T9
XP_004965258.1	K3XUW3
XP_004967580.1	K3XJE7
XP_008661885.1	A0A1D6KFH5
XP_004978745.1	K3ZHA8
XP_004967420.1	K3XK60
XP_004956712.1	K3ZQN3
NP_001151787.2	C0HG48
XP_004952294.1	K3YSR3
XP_002545991.1	C5M3Y3
XP_004968625.1	K3XJ16
XP_002547429.1	C5M7A4
XP_002548319.1	C5M894
XP_004978572.1	K3ZLT3
XP_013901999.1	A0A0D2MIY4
WP_023479200.1	V5AVP9
XP_004953663.1	K3YW96
XP_004966980.2	K3Y370
XP_002546220.1	C5M4L2
XP_002547233.1	C5M6Q8
XP_013934743.1	W1QE54
XP_004968169.1	K3XFZ7
XP_004976154.1	K3Y767
XP_012698378.1	K4ACV9
XP_002548828.1	C5MAN3
XP_004969547.1	K3XJ47
XP_012700890.1	K3Y3N3
XP_002545374.1	C5M266
XP_002545992.1	C5M3Y4
XP_002547327.1	C5M702
XP_004955869.1	K3ZQB1
XP_004967701.1	K3XEC4
XP_004971089.1	K3XDZ6
XP_004956289.1	K3ZRM2
XP_002549842.1	C5MD38
XP_004952915.1	K3YPX7
XP_004965514.1	K3Y1H7
XP_004985872.1	K4AA69
XP_004985317.1	K4A6C8
XP_002547244.1	C5M6R9
XP_004981669.1	K4ACK4
XP_004965919.1	K3XUZ7
XP_002550442.1	C5MF97
WP_028723590.1	A0A0A6W2H7
WP_028723590.1	A0A0M2YFI8
XP_002547680.1	C5M509
WP_006118973.1	A0A0A6W9K9
WP_006118973.1	H3RCB7
XP_004965735.1	K3XWR9
XP_004976647.1	K3Y8E3
XP_004979900.1	K3ZHB0
XP_004966152.1	K3XZB4
XP_002441879.1	C5YSB3
XP_004976233.1	K3Y717
WP_060245850.1	A0A132EB74
XP_004969763.1	K3XE00
XP_002454185.1	C5XXR6
XP_004983071.1	K4AEZ0
XP_004963503.1	K3ZDH2
XP_004960383.1	K3Z5Y3
XP_004965198.1	K3XUQ8
XP_003599574.1	G7J0Z7
XP_002460773.1	C5XA09
NP_001159138.1	C0HDS7
XP_004953285.1	K3YSH7
XP_004972562.2	K3YFV9
XP_004951858.1	K3YZN0
XP_004971314.1	K3XE36
XP_004977001.1	K3Y4Q8
XP_004962907.1	K3Z4V3
NP_001169660.1	C0PGU4
NP_001149954.1	B6TJN8
XP_008672932.1	A0A1D6MNI4
XP_004984053.1	K4AK60
XP_002547660.1	C5M4Y9
XP_004983504.1	K4AC70
XP_004952421.1	K3YQZ8
XP_004984340.1	K4AAZ7
XP_004961639.1	K3Z7C0
XP_004964709.1	K3Y1J1
XP_012699479.1	K3ZQ91
XP_002550814.1	C5MGB9
XP_004981377.1	K4AF67
XP_003247266.1	J9LYB5
XP_014660746.1	K3XHG1
XP_004954535.1	K3YPX2
XP_008657087.1	K7V3P1
XP_004953695.1	K3YPA6
XP_004977145.1	K3Y7K3
XP_002550807.1	C5MGB2
XP_004955563.1	K3ZR05
XP_004961227.1	K3Z3D7
XP_002457776.1	C5XJR8
XP_004954293.1	K3YQ54
XP_002549836.1	C5MD32
XP_004965567.1	K3XY85
WP_058349914.1	A0A0V2F6J3
XP_004964375.1	K3XWV7
XP_004969081.1	K3XGJ4
XP_003608649.2	G7JHM5
XP_004976482.1	K3Y742
XP_012698745.1	K3YVI3
XP_004955762.1	K3ZQU6
XP_004968268.1	K3XLC1
XP_002457107.1,XP_002454914.1	C5XKC4
XP_002547615.1	C5M4U4
XP_002545644.1	C5M2Y6
XP_002465119.1	C5WWI9
XP_010230770.1	I1HEF5
YP_009236261.1	A0A109WWL3
XP_003623550.2	G7KW32
XP_004978711.1	K3ZJF4
WP_056161399.1	A0A0Q4S8D8
XP_004977106.1	K3Y881
XP_002545503.1	C5M2J5
XP_004972244.1	K3XQP8
XP_004981961.1	K4A545
XP_004981993.1	K4ABM3
NP_001151320.1	B6TZ40
XP_004973870.1	K3YG26
XP_004969471.1	K3XJ72
WP_039339170.1	A0A0A6W5Y9
XP_004974154.1	K3YH67
XP_004978165.1	K3YCT2
XP_004951223.1	K3YRS9
WP_054156717.1	A0A0N1ABS9
XP_002549615.1	C5MCG1
XP_002546745.1	C5MJI0
XP_012703329.1	K3Y576
XP_004963062.1	K3Z5D2
XP_004958575.1	K3ZQ20
XP_004984855.1	K4AA34
XP_002458653.1	C5XMJ3
XP_004975593.1	K3Y560
XP_004979808.1	K3ZHQ6
XP_004951625.1	K3YWK3
NP_001152387.1	B6UDC6
XP_004957073.1	K3ZS35
XP_004955156.1	K3Z0J0
XP_004964977.1	K3XXQ8
XP_004985808.1	K4AET3
WP_057015475.1	A0A0R3DRV7
XP_004984871.1	K4A7I3
XP_006650113.1	J3LP14
XP_004962218.1	K3Z3C9
WP_039342102.1	A0A0A6W4E1
XP_004961264.1	K3Z5D3
XP_004957253.1	K3ZTL7
XP_004964975.1	K3XYD4
XP_004951360.1	K3YQB0
XP_004966535.2	K3XV88
XP_004982658.1	K4A7E2
XP_002549956.1	C5MDF2
XP_004969350.1	K3XE29
WP_007674073.1	K8AB95
XP_004957538.1	K3ZXV5
XP_004982082.1	K4A5M0
XP_004983497.1	K4A959
XP_012701308.1	K3XJD3
XP_004970051.1	K3XJ94
XP_004967943.1	K3XKB2
XP_004961640.1	K3Z338
XP_004968291.1	K3XFG4
XP_002549742.1	C5MCT8
XP_012701750.1	K3XE81
XP_004971293.1	K3XG09
XP_004984022.1	K4AL72
XP_004962723.1	K3Z6D3
NP_001288547.1	B6U0T1
XP_012701326.1	K3XDX3
XP_004982551.1	K4AL50
XP_002458467.1	C5XJZ6
NP_001151150.1	C0PCF2
XP_002546106.1	C5M498
XP_004955821.1	K3ZQQ9
XP_004978391.1	K3YE25
WP_014832218.1	A0A0M1R5V8
XP_004971394.1	K3XGI2
XP_004976802.1	K3Y4M4
XP_002550031.1	C5ME36
WP_059072089.1	A0A0W8ECS2
XP_004986607.1	K4A596
XP_002550641.1	C5MFU6
WP_056484655.1	A0A0Q4ETR8
XP_004956772.1	K4A459
XP_004964800.1	K3XXR0
XP_015650655.1	Q6Z229
XP_004984018.1	K4A5Y3
XP_004975681.1	K3Y4T2
XP_004979735.1	K3ZI61
XP_004969099.1	K3XEQ7
WP_060805541.1	A0A133S0G8
XP_004961632.1	K3Z6L3
WP_061099040.1	A0A126PRX1
XP_004968443.1	K3XFP8
XP_004983201.1	K4A7J0
XP_004977061.1	K3Y6D5
XP_004952779.1	K3YQM0
XP_002547756.1	C5M585
XP_004985406.1	K4AEP4
NP_001130545.1	B4F9L1
XP_004954033.1	K3YS67
NP_001280948.1	M9R5N6
XP_004974736.1	K3YN66
XP_004984296.1	K4A8T2
XP_002546920.1	C5M5U5
XP_004977672.3	K3YCR2
XP_002551244.1	C5MHI8
XP_004957603.1	K3ZRR4
XP_004957672.1	K3ZWH0
XP_004955302.1	K3ZR25
XP_004951948.1	K3YP86
XP_004953319.1	K3YUG6
XP_004978690.1	K3ZIB1
XP_004962081.1	K3Z4R1
XP_004982881.1	K4A658
WP_006121872.1	H3RK13
XP_004976877.1	K3Y7I3
XP_002549104.1	C5MBF9
XP_004982689.1	K4ADX1
XP_004983690.1	K4ADU6
XP_002437930.1	C5Z5B1
XP_002546764.1	C5MJJ9
XP_004981745.1	K4AB74
XP_004958712.1	K3ZR06
WP_033741997.1	A0A0A6YEE1
XP_712435.1	Q59RG0
XP_002550388.1	C5MF43
XP_004952127.1	K3YPQ2
XP_004973816.1	K3YGQ7
XP_004965322.1	K3XWF4
XP_004969131.1	K3XGC7
XP_007372460.1	G3AFQ9
XP_002418387.1	B9WBB7
XP_002550813.1	C5MGB8
XP_004985294.1	K4AC83
XP_014753172.1	A0A0Q3GU67
XP_002547250.1	C5M6S5
XP_002547236.1	C5M6R1
XP_004975359.1	K3Y5T7
XP_014660772.1	K3XDT8
XP_002549927.1	C5MDC3
XP_002551175.1	C5MHB9
XP_003557241.1	I1GM45
XP_004977389.1	K3Y972
XP_004958610.1	K3ZVN9
WP_011053651.1	P46245
XP_008644550.1	A0A1D6GIU0
XP_004975933.1	K3Y5N9
XP_004970201.1	K3XEE4
XP_002545724.1	C5M366
WP_063878223.1	A0A176USQ1
XP_004953824.1	K3YQT0
XP_004965781.1	K3XV75
XP_015646448.1	Q7EZD7
WP_006120595.1	A0A0A6VZC0
WP_006120595.1	A0A0E9C2E7
WP_006120595.1	A0A0H3L0U2
WP_006120595.1	A0A0N1RRN4
WP_006120595.1	A0A176UP08
WP_006120595.1	D4GCG1
WP_006120595.1	H3RGF8
XP_004962900.1	K3Z6D2
XP_004982715.1	K4ABH7
XP_004956734.1	K3ZQV5
NP_001105019.2	B4F939
NP_001105019.2	B4FE36
XP_004985525.1	K4AJQ5
XP_012700786.1	K3XXJ0
XP_004968993.1	K3XG88
XP_002548922.1	C5MAX7
XP_004985995.1	K4A692
XP_004951531.1	K3YRF3
XP_004966254.1	K3XVN3
XP_008669302.1	A0A1D6E8V4
XP_003578266.2	A0A0Q3HAX8
XP_004968411.1	K3XI15
XP_004955445.1	K3ZST8
XP_004983644.1	K4AC19
XP_002549523.1	C5MDR9
WP_006117864.1	A0A0A6W040
WP_006117864.1	H3R925
NP_001148007.1	B6SWZ1
XP_008656385.1	K7UWQ3
XP_004965952.1	K3XX62
XP_004971408.1	K3XG41
XP_002551124.1	C5MH68
XP_002548665.1	C5M990
XP_004983809.1	K4A571
XP_004964147.1	K3Z8E3
XP_002550689.1	C5MFZ4
XP_004984066.1	K4AE40
XP_002458443.1	C5XJ23
XP_006649964.2	J3LN30
XP_004982054.1	K4A7S9
XP_004976387.1	K3Y841
XP_004976418.1	K3Y861
XP_004973984.1	K3YLI0
XP_004957162.1	K3ZQL1
XP_004961862.1	K3Z4X4
XP_002547024.1	C5M650
XP_002546359.1	C5MIE4
NP_001168251.1	C0P3N0
XP_004969188.1	K3XG44
XP_004957597.1	K3ZQP2
WP_033739033.1	A0A0A6YFJ1
XP_004966457.1	K3XXG1
XP_012702472.1	K3YMX3
XP_002545642.1	C5M2Y4
NP_001136455.1	B4FIM1
XP_004986632.1	K4AJD2
XP_004977375.1	K3Y7H9
XP_004970125.1	K3XFA6
XP_004952485.1	K3YRK7
XP_004976904.1	K3Y969
XP_004985502.1	K4AEE0
XP_004958593.1	K3ZPX9
NP_001309796.1	A0A1D6N7R9
XP_004966052.1	K3XVT5
XP_002440579.1	C5YZZ8
XP_004957303.1	K3ZWG0
XP_004972793.1	K3YIA1
XP_004975871.1	K3Y5Q5
XP_004981152.1	K4A7B7
XP_004976367.1	K3Y8G2
XP_002549955.1	C5MDF1
XP_004965240.1	K3XVL1
WP_013026618.1	A0A0E9BZS5
WP_013026618.1	A0A0H3L5I3
WP_013026618.1	D4GJF7
XP_004973967.1	K3YG60
XP_004978787.1	K3ZHC1
XP_004978717.1	K3ZIS4
XP_012703797.1	K3ZJF0
XP_004966005.1	K3XVF3
XP_004962656.1	K3Z8H0
XP_004969207.1	K3XKG8
XP_004969946.1	K3XG54
XP_002550528.1	C5MFI3
XP_004969172.1	K3XFS0
XP_004966160.1	K3XXS9
XP_002442956.1	C5YTA5
XP_002445091.1	C5YHB7
XP_004982540.1	K4AAL0
XP_004971598.1	K3XS23
XP_002548542.1	C5M8W7
XP_004958807.1	K3ZRZ7
NP_001143079.1	B6SVC5
XP_004965943.1	K3XVB1
XP_004976600.1	K3Y786
NP_001141708.1	B4FXQ3
XP_004979706.1	K3ZJA1
NP_001130322.1	B4F8R2
XP_002548218.1	C5M7Z3
XP_004966004.1	K3XUY7
XP_012701723.1	K3XEI5
XP_003560846.2	I1GZ85
XP_003570392.1	A0A0Q3IM64
XP_004981412.1	K4AF95
XP_015693276.1	J3MAB4
XP_002549857.1	C5MD53
XP_004954282.1	K3YUZ5
XP_004957140.1	K3ZRN7
XP_004964482.1	K3XXP1
XP_008676840.1	K7U8W2
XP_004968399.1	K3XEK3
XP_012700105.1	K3Z5D5
XP_002549324.1	C5MC29
XP_002548818.1	C5MAM3
XP_004983213.1	K4A745
XP_002548132.1	C5MAB6
XP_004979443.1	K3ZJ56
XP_002550258.1	C5MER3
XP_002549367.1	C5MC72
XP_002546299.1	C5MI84
XP_002550649.1	C5MFV4
XP_002549583.1	C5MDX8
XP_002551426.1	C5MI31
XP_002545468.1	C5M2G0
XP_002549386.1	C5MC91
XP_002548923.1	C5MAX8
XP_002546078.1	C5M470
XP_002547681.1	C5M510
XP_002551157.1	C5MHA1
XP_002547481.1	C5M7F6
XP_002551226.1	C5MHH0
XP_002548558.1	C5M8Y3
XP_002545318.1	C5M210
XP_002545504.1	C5M2J6
XP_002549905.1	C5MDA1
XP_002548130.1	C5MAB5
XP_002549966.1	C5MDG2
XP_002547105.1	C5M6D0
XP_002546620.1	C5MJ55
XP_002546850.1	C5M5M5
XP_002551265.1	C5MHK9
XP_002547371.1	C5M746
XP_002548742.1	C5MAE7
XP_002549525.1	C5MDS0
XP_002547725.1	C5M554
XP_002549792.1	C5MCY8
XP_002547036.1	C5M661
XP_002546474.1	C5MIQ9
XP_002548165.1	C5M7U0
XP_002548577.1	C5M902
XP_002551454.1	C5MI59
XP_004981977.1	K4A5E7
XP_002550693.1	C5MFZ8
XP_002551293.1	C5MHP8
XP_002548316.1	C5M891
XP_002545475.1	C5M2G7
XP_002551121.1	C5MH65
XP_002549771.1	C5MCW7
XP_002547165.1	C5M6J0
XP_002548041.1	C5MA26
XP_002548882.1	C5MAT7
XP_002549186.1	C5MBP1
XP_002551291.1	C5MHP6
XP_002545869.1	C5M3L1
XP_002546681.1	C5MJB6
XP_002545554.1	C5M2P6
XP_002419678.1	B9WF11
XP_002546172.1	C5M4G4
XP_002549953.1	C5MDE9
XP_002551123.1	C5MH67
XP_004973787.1	K3YJB7
XP_002546127.1	C5M4B9
XP_002546919.1	C5M5U4
XP_002547430.1	C5M7A5
NP_001130056.1	B4F7T4
XP_002551274.1	C5MHM9
XP_002549663.1	C5MCK9
XP_002546426.1	C5MIL1
XP_002550304.1	C5MEV9
XP_002547928.1	C5M9R3
XP_712932.1	Q59TC4
XP_002548663.1	C5M987
XP_002550036.1	C5ME41
XP_002551230.1	C5MHH4
XP_001482914.1	A5DNL8
XP_002549339.1	C5MC44
XP_002550315.1	C5MEX0
XP_002546724.1	C5MJF9
XP_002548413.1	C5M8I8
XP_002550456.1	C5MFB1
XP_002551273.1	C5MHM8
XP_002549835.1	C5MD31
XP_002550694.1	C5MFZ9
XP_002547717.1	C5M546
XP_002551377.1	C5MHY2
XP_002549338.1	C5MC43
XP_002547486.1	C5M7G1
XP_002548303.1	C5M878
XP_002545376.1	C5M268
XP_002551019.1	C5MGW3
XP_002548028.1	C5MA13
XP_002549268.1	C5MBX3
XP_002550734.1	C5MG39
XP_002550234.1	C5MEN9
XP_002548740.1	C5MAE5
XP_002547480.1	C5M7F5
XP_002545747.1	C5M389
XP_002549267.1	C5MBX2
XP_002547679.1	C5M508
XP_002547950.1	C5M9T5
XP_002547655.1	C5M4Y4
XP_002549618.1	C5MCG4
XP_002545868.1	C5M3L0
XP_002549246.1	C5MBV1
XP_002550010.1	C5ME15
XP_002551231.1	C5MHH5
XP_002548407.1	C5M8I2
XP_002549336.1	C5MC41
XP_002549074.1	C5MBC9
XP_002547163.1	C5M6I8
XP_002545640.1	C5M2Y2
XP_002546440.1	C5MIM5
XP_002548313.1	C5M888
XP_002548951.1	C5MB06
XP_002551228.1	C5MHH2
XP_002548075.1	C5MA60
XP_002546173.1	C5M4G5
XP_002549102.1	C5MBF7
XP_002548753.1	C5MAF8
XP_002547929.1	C5M9R4
XP_002548014.1	C5M9Z9
XP_002549637.1	C5MCI3
XP_002545575.1	C5M2R7
XP_002549531.1	C5MDS6
XP_002548924.1	C5MAX9
XP_002547995.1	C5M9Y0
XP_002548886.1	C5MAU1
XP_002546193.1	C5M4I5
XP_002549227.1	C5MBT2
XP_002551138.1	C5MH82
XP_002547856.1	C5M9J1
XP_002549909.1	C5MDA5
XP_002547614.1	C5M4U3
XP_002550216.1	C5MEM1
XP_002547248.1	C5M6S3
XP_002550316.1	C5MEX1
XP_002546054.1	C5M446
XP_002548660.1	C5M985
XP_002551294.1	C5MHP9
XP_002550445.1	C5MFA0
XP_002546533.1	C5MIW8
XP_002549185.1	C5MBP0
XP_002551141.1	C5MH85
XP_002549072.1	C5MBC7
XP_002548404.1	C5M8H9
XP_002545308.1	C5M200
XP_002547051.1	C5M676
XP_002546027.1	C5M419
XP_002546092.1	C5M484
XP_002549982.1	C5MDH8
XP_002548933.1	C5MAY8
XP_002547232.1	C5M6Q7
XP_002545270.1	C5M1W2
XP_002547930.1	C5M9R5
XP_002546174.1	C5M4G6
XP_002545635.1	C5M2X7
XP_002546093.1	C5M485
XP_002545662.1	C5M304
XP_002545773.1	C5M3B5
XP_002545792.1	C5M3D4
XP_002547598.1	C5M7S3
XP_002549772.1	C5MCW8
XP_002550788.1	C5MG93
XP_002546522.1	C5MIV7
XP_721959.1	Q5AJX0
XP_002548790.1	C5MAJ5
XP_002421610.1	B9WKJ9
