C5MGG2	ctp:CTRG_05155
C5M8Z6	ctp:CTRG_02868
C5M8Z0	ctp:CTRG_02862
C5MAS3	ctp:CTRG_03165
K3YQV1	sita:101783556
K4A968	sita:101754873
K3ZQ97	sita:101786645
K4A849	sita:101786582
C5M6U8	ctp:CTRG_01579
K3ZHT9	sita:101777664
C5MGZ1	ctp:CTRG_05345
C5M3M1	ctp:CTRG_00660
C5M649	ctp:CTRG_01330
C5M649	ctp:CTRG_01336
C4J8S7	zma:100502152
K3ZR28	sita:101778058
C5ME40	ctp:CTRG_04332
K3ZE67	sita:101779700
K3XI36	sita:101756518
K3YVB0	sita:101756397
E0VA57	phu:Phum_PHUM027580
C5M7Z5	ctp:CTRG_02517
C5M486	ctp:CTRG_00875
K3Z3A2	sita:101784941
C5MAW7	ctp:CTRG_03209
C5MB33	ctp:CTRG_03275
A7KVC2	zma:100125659
K3YJM9	sita:101756270
C5MH71	ctp:CTRG_05425
K3Y9I9	sita:101758994
C5M9D7	ctp:CTRG_03009
C5MHC8	ctp:CTRG_05482
C5M804	ctp:CTRG_02526
C5MBG3	ctp:CTRG_03405
C5MGE7	ctp:CTRG_05140
C5MHK8	ctp:CTRG_05562
K3Y530	sita:101771284
C5XAQ2	sbi:SORBI_02g035280
K3Z657	sita:101785474
K3YWN6	sita:101757211
J3M0L1	obr:102706836
K3Y673	sita:101761287
C5M989	ctp:CTRG_02961
K3Y6Q2	sita:101781954
C5MAU2	ctp:CTRG_03184
K3ZQB7	sita:101785318
A0A072U5E2	mtr:MTR_7g115710
K3Y678	sita:101776289
K3XVC1	sita:101769347
K4A8Q2	sita:101767191
C5M3F0	ctp:CTRG_00589
C5MJH9	ctp:CTRG_06222
C5M3D2	ctp:CTRG_00571
B9WM01	cdu:CD36_31190
K3Y6Q7	sita:101770909
K4AL86	sita:101786570
K3ZQA0	sita:101766715
K3Z717	sita:101753485
K3ZNI6	sita:101782649
K3ZQE5	sita:101784911
C5MG72	ctp:CTRG_05065
K3Y5M5	sita:101777518
K3XX12	sita:101785379
C5M6R8	ctp:CTRG_01549
A5DZM4	lel:LELG_02811
C5MB15	ctp:CTRG_03257
C5MJK3	ctp:CTRG_06246
C5MD88	ctp:CTRG_04189
C5M3D0	ctp:CTRG_00569
C5MFC7	ctp:CTRG_04770
C5M3E1	ctp:CTRG_00580
K3Z3F1	sita:101780497
C5MDY0	ctp:CTRG_03882
C5XVN5	sbi:SORBI_04g023730
K3Y5C5	sita:101755202
A0A160J685	snj:A7E77_00860
K3ZU47	sita:101769016
K3Y8F8	sita:101757505
K3Y7N8	sita:101784922
K3Y897	sita:101774546
K3YHP1	sita:101783685
C5YJH7	sbi:SORBI_07g007730
K3YYV4	sita:101775037
C5MAM8	ctp:CTRG_03120
C5MCD8	ctp:CTRG_03730
I1HJH5	bdi:100839607
C5M924	ctp:CTRG_02896
K3Z5X4	sita:101754691
B4FDL9	zma:100193052
G7I9Z0	mtr:MTR_1g016230
I1GLI2	bdi:100829272
C5MCD7	ctp:CTRG_03729
C5X9N4	sbi:SORBI_02g003380
C5YQ25	sbi:SORBI_08g000555
K3XFP7	sita:101769762
Q5A741	cal:CaO19.5121
Q5A741	cal:CaO19.12587
C5MB46	ctp:CTRG_03288
C5YAM9	sbi:SORBI_06g033310
K3XHB6	sita:101775008
C5M4X3	ctp:CTRG_01951
K4A507	sita:101772271
K3Y124	sita:101759874
B7ZZ11	zma:100279604
Q6ZNX4	hsa:100652901
A0A097ECT8	stax:MC45_01975
K3YRF5	sita:101778564
C5M9D1	ctp:CTRG_03003
G3BFF9	cten:CANTEDRAFT_96126
C5XGC0	sbi:SORBI_03g044160
C5M204	ctp:CTRG_00093
C5MFX4	ctp:CTRG_04967
K3Z608	sita:101766324
C5M422	ctp:CTRG_00811
C5M421	ctp:CTRG_00810
C5MBD4	ctp:CTRG_03376
K3Y782	sita:101780602
C5MFI4	ctp:CTRG_04827
C5MHF4	ctp:CTRG_05508
C5X0Y2	sbi:SORBI_01g049240
K3ZNL0	sita:101772517
K3XV72	sita:101785912
K4A1Y0	sita:101768350
K3ZSC8	sita:101762098
K3ZD36	sita:101777568
K4A885	sita:101754197
C0PG74	zma:100383468
C5ME85	ctp:CTRG_04377
C5M8W5	ctp:CTRG_02837
C5MIL2	ctp:CTRG_05905
B6TJF5	zma:100276840
K3Z6M4	sita:101767821
K4AD17	sita:101785639
K4A567	sita:101761209
B6U0J9	zma:100285072
Q2QMX9	osa:4352664
K4A7M6	sita:101771341
K3XEU9	sita:101783133
K3ZVA6	sita:101762108
C5M884	ctp:CTRG_02606
K3YP71	sita:101772985
K3ZR17	sita:101764527
K3YC01	sita:101779140
K3XJJ7	sita:101761390
K3Z942	sita:101757652
C5M7M8	ctp:CTRG_01860
K3YJ97	sita:101776397
K3Z5C8	sita:101761715
C5MJ37	ctp:CTRG_06080
C5MC84	ctp:CTRG_03676
K3YR42	sita:101780034
A0A0Q3KNP3	bdi:100843123
K3XVD5	sita:101774182
K3ZQI0	sita:101766992
K3ZS76	sita:101764795
K4A4S6	sita:101778793
C5XZ01	sbi:SORBI_04g008750
K3Y807	sita:101779937
K3XDW3	sita:101769233
C5MB49	ctp:CTRG_03291
C5M6W1	ctp:CTRG_01592
B4FNQ6	zma:100272454
K3ZRV2	sita:101763186
K3YZ71	sita:101759930
K3ZT38	sita:101766172
K3YP85	sita:101773704
K3Y9T8	sita:101762773
K3XE30	sita:101755300
C5M4A4	ctp:CTRG_00894
K3XEM3	sita:101758683
K3Z8V3	sita:106804238
K4ACT2	sita:101775793
C5MB64	ctp:CTRG_03306
C5M8Y2	ctp:CTRG_02854
I1GNM8	bdi:104582483
A0A0N1RYY6	paq:PAGR_g3504
D4GJQ1	pam:PANA_0694
I1GKU4	bdi:100827039
C5YIH2	sbi:SORBI_07g005800
K3XEQ4	sita:101786357
C5MFZ3	ctp:CTRG_04986
A5DNF8	pgu:PGUG_04809
K3XH05	sita:101765292
K3Z3V4	sita:101781990
K3XH06	sita:101753692
K3XWJ8	sita:101784847
K3Z5T3	sita:101772400
C5M6W3	ctp:CTRG_01594
A9SHA7	ppp:PHYPADRAFT_79416
K3YUL6	sita:101759372
K3ZHD9	sita:101759434
K4A5P4	sita:101763253
P40978	osa:4333148
P40978	osa:4333150
C5MH05	ctp:CTRG_05359
C6JS24	sbi:SORBI_0019s003280
K4A4Z9	sita:101779721
K3XWA2	sita:101765811
K3ZEJ0	sita:101784284
K3ZX66	sita:105913557
Q7XUA1	osa:4336421
G7L6J3	mtr:MTR_7g067340
K3Z3F4	sita:101761452
K3XZT2	sita:101783229
K3Y292	sita:101776763
K3XYG6	sita:101753247
C5M3N8	ctp:CTRG_00677
K3Y570	sita:101761035
C5MIV6	ctp:CTRG_05999
K3ZS10	sita:101772222
K3Y631	sita:101782216
K3YMN3	sita:101775584
K3XDS5	sita:101784057
K3YRP5	sita:101783147
K3XV33	sita:101752998
A0A0X8Q8Q5	pagg:AL522_16700
K3Z4D2	sita:101782917
C5MI78	ctp:CTRG_05771
K3YQE6	sita:101764106
C5Z396	sbi:SORBI_10g001900
I1I2B1	bdi:100827497
Q84TA1	osa:4334598
K3YGD9	sita:101776794
K4A7Z7	sita:101757692
C5M3G8	ctp:CTRG_00607
A0A0D2N409	gra:105785463
X1WSN9	api:100161786
C5MHH3	ctp:CTRG_05527
K4AC16	sita:101760397
K3XIG4	sita:101780428
K3YM02	sita:101764236
A0A067K0V7	jcu:105641655
K3Z2F8	sita:101756103
K4AF92	sita:101754195
K3Z5H9	sita:101786945
K3YH53	sita:101758430
K4A9M5	sita:101780933
K3XEL3	sita:101767615
K3Y5Q8	sita:101780218
A0A0Q3MP58	bdi:100837670
B4FSQ3	zma:100273081
K4A707	sita:101782398
C0P4H8	zma:100382112
K4A9I3	sita:101784978
Q2QM64	osa:4352794
K3ZIY6	sita:101781566
K3YR57	sita:101759781
A0A0Q3HKM4	bdi:100826243
J3M279	obr:102717426
B4FWB9	zma:100273569
K3XGV5	sita:101768416
C5MCG2	ctp:CTRG_03913
C5MAE6	ctp:CTRG_03038
K3XIT9	sita:101773397
B9WKK4	cdu:CD36_25110
C5M8N3	ctp:CTRG_02755
K3XH92	sita:101763688
K3XRG9	sita:101772867
K3XIV6	sita:101760834
K3ZRQ0	sita:101769816
C6JRM0	sbi:SORBI_0011s003210
C5Z998	sbi:SORBI_10g029260
Q59VN4	cal:CaO19.9412
Q59VN4	cal:CaO19.1059
Q59VN4	cal:CaO19.8661
Q59VN4	cal:CaO19.1854
K3YG11	sita:101757086
K3ZQZ7	sita:101777665
K4A7U9	sita:101785510
K3Z399	sita:101762676
C4Y0F0	clu:CLUG_01682
K4A783	sita:101768773
G7I4X2	mtr:MTR_1g093770
K3XSF3	sita:101782989
B4FYQ7	zma:100274039
K3Z545	sita:101773348
K3YU41	sita:101775162
K3XEC9	sita:101776382
C5M1Y4	ctp:CTRG_00073
K4A615	sita:101786954
C5M690	ctp:CTRG_01371
C5MC97	ctp:CTRG_03689
C5M395	ctp:CTRG_00534
C5M640	ctp:CTRG_01321
C5MCA6	ctp:CTRG_03698
K3XI90	sita:101772984
K3ZHR3	sita:101770386
K4A6F3	sita:101756601
A0A120LPP1	pagg:AL522_21035
K4A1G3	sita:101755749
C5M6I9	ctp:CTRG_01470
J3MA52	obr:102715857
K3XGJ3	sita:101758808
K7U2E4	zma:103641531
K3Z6R5	sita:101756593
K4A8C2	sita:101777831
K3Z5Y5	sita:101765649
K3YRV4	sita:101769932
K4A540	sita:101774300
K4A510	sita:101765677
C5Z0X5	sbi:SORBI_09g025470
C5MBA7	ctp:CTRG_03349
K3ZHU8	sita:101779436
A0A096QRT2	zma:103627366
K3Y5X8	sita:101773588
C5MB97	ctp:CTRG_03339
K3ZHQ8	sita:101773619
C5M7S5	ctp:CTRG_01907
C5M3T2	ctp:CTRG_00721
K3Z357	sita:101765127
C5YCN5	sbi:SORBI_06g002080
K3XLH0	sita:101755160
K3Z606	sita:101766880
K3XY59	sita:101784852
K3XIT1	sita:101770983
K3YC63	sita:101779020
K4AMJ2	sita:101764041
K3Y5C9	sita:101780749
C5XAX7	sbi:SORBI_02g036010
K3YPS3	sita:101769104
K3Z4X2	sita:101772411
C5MGF0	ctp:CTRG_05143
K3ZH36	sita:101771830
K3Y359	sita:101773648
K4A7I4	sita:101786301
C5MA65	ctp:CTRG_02377
K3YTG6	sita:101778974
C5M647	ctp:CTRG_01328
K3ZR51	sita:101757780
K3Z3T4	sita:101769575
K3Y9L7	sita:101756304
C5Z1W2	sbi:SORBI_10g030220
K3ZQ39	sita:101783040
C5M8N2	ctp:CTRG_02754
K3ZU09	sita:101784795
K4ACD7	sita:101756211
C5M688	ctp:CTRG_01369
K4AMK8	sita:101756196
B4FBV8	zma:100192580
B7ZYS2	zma:100279564
K3XED1	sita:101762322
K3Z3T6	sita:101785224
K3Z4V9	sita:101754440
K3XUW3	sita:101783914
K3XJE7	sita:101769493
K3ZHA8	sita:101773610
K3XK60	sita:101773256
K3ZQN3	sita:101771676
C0HG48	zma:100285422
K3YSR3	sita:101761129
C5M3Y3	ctp:CTRG_00772
K3XJ16	sita:101777316
C5M7A4	ctp:CTRG_01736
C5M894	ctp:CTRG_02643
C5M894	ctp:CTRG_02616
K3ZLT3	sita:101773453
K3YW96	sita:101772869
K3Y370	sita:101770965
C5M4L2	ctp:CTRG_01002
C5M6Q8	ctp:CTRG_01539
K3XFZ7	sita:101764891
K3Y767	sita:101757501
K4ACV9	sita:105913503
C5MAN3	ctp:CTRG_03125
K3XJ47	sita:101781909
K3Y3N3	sita:101754482
C5M266	ctp:CTRG_00155
C5M3Y4	ctp:CTRG_00773
C5M702	ctp:CTRG_01633
K3ZQB1	sita:101755884
K3XEC4	sita:101782567
K3XDZ6	sita:101770185
K3ZRM2	sita:101760213
C5MD38	ctp:CTRG_04139
K3YPX7	sita:101783671
K3Y1H7	sita:101760543
K4AA69	sita:101758255
K4A6C8	sita:101785108
C5M6R9	ctp:CTRG_01550
K4ACK4	sita:101758359
K3XUZ7	sita:101753251
C5MF97	ctp:CTRG_04740
C5M509	ctp:CTRG_01987
K3XWR9	sita:101785105
K3Y8E3	sita:101754406
K3ZHB0	sita:101767154
K3XZB4	sita:101777443
C5YSB3	sbi:SORBI_08g004125
K3Y717	sita:101753179
K3XE00	sita:101765569
C5XXR6	sbi:SORBI_04g026320
K4AEZ0	sita:101773492
K3ZDH2	sita:101781463
K3Z5Y3	sita:101753618
K3XUQ8	sita:101758916
G7J0Z7	mtr:MTR_3g035620
C5XA09	sbi:SORBI_02g034720
C0HDS7	zma:100304216
K3YSH7	sita:101762891
K3YFV9	sita:101774231
K3YZN0	sita:101760991
K3XE36	sita:101759633
K3Y4Q8	sita:101758192
K3Z4V3	sita:101759298
C0PGU4	zma:100383541
B6TJN8	zma:100283581
K4AK60	sita:101770684
C5M4Y9	ctp:CTRG_01967
K4AC70	sita:101784571
K3YQZ8	sita:101753142
K4AAZ7	sita:101779860
K3Z7C0	sita:101767689
K3Y1J1	sita:101766357
C5MGB9	ctp:CTRG_05112
K4AF67	sita:101781861
J9LYB5	api:100571463
K3XHG1	sita:101752479
K3YPX2	sita:101766002
K7V3P1	zma:103636522
K3YPA6	sita:101785827
K3Y7K3	sita:101781158
C5MGB2	ctp:CTRG_05105
K3ZR05	sita:101766420
K3Z3D7	sita:101777964
C5XJR8	sbi:SORBI_03g013450
K3YQ54	sita:101779520
C5MD32	ctp:CTRG_04133
K3XY85	sita:101783109
K3XWV7	sita:101769603
K3XGJ4	sita:101766804
G7JHM5	mtr:MTR_4g098800
K3Y742	sita:101784382
K3YVI3	sita:101770874
K3ZQU6	sita:101779000
K3XLC1	sita:101770436
C5XKC4	sbi:SORBI_03g001330
C5XKC4	sbi:SORBI_03g001335
C5M4U4	ctp:CTRG_01922
C5M2Y6	ctp:CTRG_00425
C5WWI9	sbi:SORBI_01g032340
I1HEF5	bdi:100830919
G7KW32	mtr:MTR_7g072330
K3ZJF4	sita:101760368
K3Y881	sita:101766030
C5M2J5	ctp:CTRG_00284
K3XQP8	sita:101775722
K4A545	sita:101776185
K4ABM3	sita:101754854
B6TZ40	zma:100284953
K3YG26	sita:101778990
K3XJ72	sita:101786070
K3YH67	sita:101756539
K3YCT2	sita:101759143
K3YRS9	sita:101777323
C5MCG1	ctp:CTRG_03912
C5MJI0	ctp:CTRG_06223
K3Y576	sita:105914855
K3Z5D2	sita:101752682
K3ZQ20	sita:101769688
K4AA34	sita:101773511
C5XMJ3	sbi:SORBI_03g037470
K3Y560	sita:101775462
K3ZHQ6	sita:101762944
K3YWK3	sita:101767624
B6UDC6	zma:100286027
K3ZS35	sita:101784786
K3Z0J0	sita:101767376
K3XXQ8	sita:101772021
K4AET3	sita:101766640
K4A7I3	sita:101780135
J3LP14	obr:102720777
K3Z3C9	sita:101762140
K3Z5D3	sita:101757405
K3ZTL7	sita:101755204
K3XYD4	sita:101771218
K3YQB0	sita:101763692
K3XV88	sita:101754478
K4A7E2	sita:101784015
C5MDF2	ctp:CTRG_04253
K3XE29	sita:101772452
K8AB95	ccon:AFK62_11180
K3ZXV5	sita:101767128
K4A5M0	sita:101756871
K4A959	sita:101781593
K3XJ94	sita:101776229
K3XKB2	sita:101776095
K3Z338	sita:101768094
K3XFG4	sita:101779087
C5MCT8	ctp:CTRG_04039
K3XE81	sita:101779613
K3XG09	sita:101785274
K4AL72	sita:101758510
K3Z6D3	sita:101752680
B6U0T1	zma:103627509
K3XDX3	sita:101785005
K4AL50	sita:101773081
C5XJZ6	sbi:SORBI_03g034230
C0PCF2	zma:100284783
C0PCF2	zma:103652856
C5M498	ctp:CTRG_00888
K3ZQQ9	sita:101769814
K3YE25	sita:101755770
A0A0M1R5V8	enl:A3UG_12790
K3XGI2	sita:101755168
K3Y4M4	sita:101781548
C5ME36	ctp:CTRG_04328
K4A596	sita:101763676
C5MFU6	ctp:CTRG_04939
K4A459	sita:101762096
K3XXR0	sita:101767983
Q6Z229	osa:4345856
K4A5Y3	sita:101756890
K3Y4T2	sita:101779541
K3ZI61	sita:101767550
K3XEQ7	sita:101773948
K3Z6L3	sita:101764837
K3XFP8	sita:101768557
K4A7J0	sita:101757956
K3Y6D5	sita:101781825
K3YQM0	sita:101765177
C5M585	ctp:CTRG_02063
K4AEP4	sita:101784719
B4F9L1	zma:100191644
K3YS67	sita:101780184
M9R5N6	mdm:103448995
K3YN66	sita:101781405
K4A8T2	sita:101762444
C5M5U5	ctp:CTRG_01226
K3YCR2	sita:101753059
C5MHI8	ctp:CTRG_05542
K3ZRR4	sita:101759129
K3ZWH0	sita:101786655
K3ZR25	sita:101762501
K3YP86	sita:101760993
K3YUG6	sita:101776250
K3ZIB1	sita:101786013
K3Z4R1	sita:101773763
K4A658	sita:101767034
K3Y7I3	sita:101777517
C5MBF9	ctp:CTRG_03401
K4ADX1	sita:101761469
K4ADU6	sita:101759719
C5Z5B1	sbi:SORBI_10g004990
C5MJJ9	ctp:CTRG_06242
K4AB74	sita:101756199
K3ZR06	sita:101754021
Q59RG0	cal:CaO19.9706
Q59RG0	cal:CaO19.2160
C5MF43	ctp:CTRG_04686
K3YPQ2	sita:101761128
K3YGQ7	sita:101756953
K3XWF4	sita:101774990
K3XGC7	sita:101787003
G3AFQ9	spaa:SPAPADRAFT_58182
B9WBB7	cdu:CD36_19070
C5MGB8	ctp:CTRG_05111
K4AC83	sita:101776483
A0A0Q3GU67	bdi:100832385
C5M6S5	ctp:CTRG_01556
C5M6R1	ctp:CTRG_01542
K3Y5T7	sita:101784917
C5MDC3	ctp:CTRG_04224
C5MHB9	ctp:CTRG_05473
I1GM45	bdi:100837507
K3Y972	sita:101773736
K3ZVN9	sita:101783445
P46245	bas:BUsg_116
K3Y5N9	sita:101775062
K3XEE4	sita:101765702
C5M366	ctp:CTRG_00505
K3YQT0	sita:101765060
K3XV75	sita:101770690
Q7EZD7	osa:4342198
A0A0H3L0U2	paj:PAJ_2829
A0A0N1RRN4	paq:PAGR_g0428
D4GCG1	pam:PANA_3605
K3Z6D2	sita:101756599
K4ABH7	sita:101772270
K3ZQV5	sita:101781273
B4F939	zma:541883
B4FE36	zma:541883
K4AJQ5	sita:101760825
K3XXJ0	sita:105914251
K3XG88	sita:101763537
C5MAX7	ctp:CTRG_03219
K4A692	sita:101772029
K3YRF3	sita:101763694
K3XVN3	sita:101784034
A0A0Q3HAX8	bdi:100831289
K3XI15	sita:101755023
K3ZST8	sita:101752498
K4AC19	sita:101775525
C5MDR9	ctp:CTRG_03821
B6SWZ1	zma:100281616
K7UWQ3	zma:103635788
K3XX62	sita:101765957
K3XG41	sita:101760584
C5MH68	ctp:CTRG_05422
C5M990	ctp:CTRG_02962
K4A571	sita:101778647
K3Z8E3	sita:101780927
C5MFZ4	ctp:CTRG_04987
K4AE40	sita:101775665
C5XJ23	sbi:SORBI_03g033640
J3LN30	obr:102699386
K4A7S9	sita:101780657
K3Y841	sita:101778464
K3Y861	sita:101756423
K3YLI0	sita:101754787
K3ZQL1	sita:101752768
K3Z4X4	sita:101755650
C5M650	ctp:CTRG_01331
C5M650	ctp:CTRG_01335
C5MIE4	ctp:CTRG_05837
C0P3N0	zma:100382014
K3XG44	sita:101776105
K3ZQP2	sita:101756974
K3XXG1	sita:101758790
K3YMX3	sita:101756547
C5M2Y4	ctp:CTRG_00423
B4FIM1	zma:100216563
K4AJD2	sita:101779081
K3Y7H9	sita:101767666
K3XFA6	sita:101770565
K3YRK7	sita:101780970
K3Y969	sita:101754016
K4AEE0	sita:101785923
K3ZPX9	sita:101777112
K3XVT5	sita:101771479
C5YZZ8	sbi:SORBI_09g003430
K3ZWG0	sita:101777222
K3YIA1	sita:101762346
K3Y5Q5	sita:101784379
K4A7B7	sita:101759448
K3Y8G2	sita:101770896
C5MDF1	ctp:CTRG_04252
K3XVL1	sita:101776476
A0A0H3L5I3	paj:PAJ_2024
D4GJF7	pam:PANA_2740
K3YG60	sita:101783281
K3ZHC1	sita:101756847
K3ZIS4	sita:101763475
K3ZJF0	sita:101777130
K3XVF3	sita:101786848
K3Z8H0	sita:101756330
K3XKG8	sita:101783788
K3XG54	sita:101770316
C5MFI3	ctp:CTRG_04826
C5MFI3	ctp:CTRG_04833
K3XFS0	sita:101770039
K3XXS9	sita:101781082
C5YTA5	sbi:SORBI_08g005430
C5YHB7	sbi:SORBI_07g003980
K4AAL0	sita:101768114
K3XS23	sita:101756933
C5M8W7	ctp:CTRG_02839
K3ZRZ7	sita:101756159
B6SVC5	zma:100275552
K3XVB1	sita:101762026
K3Y786	sita:101769551
B4FXQ3	zma:100273837
K3ZJA1	sita:101754432
B4F8R2	zma:100191416
C5M7Z3	ctp:CTRG_02515
K3XUY7	sita:101786455
K3XEI5	sita:101756243
I1GZ85	bdi:100844635
A0A0Q3IM64	bdi:100830737
K4AF95	sita:101761070
J3MAB4	obr:102704251
C5MD53	ctp:CTRG_04154
K3YUZ5	sita:101775443
K3ZRN7	sita:101779138
K3XXP1	sita:101777281
K3XEK3	sita:101785396
K3Z5D5	sita:101765240
C5MC29	ctp:CTRG_03621
C5MAM3	ctp:CTRG_03115
K4A745	sita:101763651
C5MAB6	ctp:CTRG_02428
K3ZJ56	sita:101781299
C5MER3	ctp:CTRG_04556
C5MC72	ctp:CTRG_03673
C5MC72	ctp:CTRG_03664
C5MI84	ctp:CTRG_05777
C5MFV4	ctp:CTRG_04947
C5MDX8	ctp:CTRG_03880
C5MI31	ctp:CTRG_05724
C5M2G0	ctp:CTRG_00249
C5MC91	ctp:CTRG_03683
C5MAX8	ctp:CTRG_03220
C5M470	ctp:CTRG_00859
C5M510	ctp:CTRG_01988
C5MHA1	ctp:CTRG_05455
C5M7F6	ctp:CTRG_01788
C5MHH0	ctp:CTRG_05524
C5M8Y3	ctp:CTRG_02855
C5M210	ctp:CTRG_00099
C5M210	ctp:CTRG_00109
C5M2J6	ctp:CTRG_00285
C5MDA1	ctp:CTRG_04202
C5MAB5	ctp:CTRG_02427
C5MDG2	ctp:CTRG_04263
C5M6D0	ctp:CTRG_01411
C5MJ55	ctp:CTRG_06098
C5M5M5	ctp:CTRG_01155
C5MHK9	ctp:CTRG_05563
C5M746	ctp:CTRG_01678
C5MAE7	ctp:CTRG_03039
C5MDS0	ctp:CTRG_03822
C5M554	ctp:CTRG_02032
C5MCY8	ctp:CTRG_04089
C5M661	ctp:CTRG_01342
C5MIQ9	ctp:CTRG_05952
C5M7U0	ctp:CTRG_02462
C5M902	ctp:CTRG_02874
C5MI59	ctp:CTRG_05752
K4A5E7	sita:101782673
C5MFZ8	ctp:CTRG_04991
C5MHP8	ctp:CTRG_05591
C5M891	ctp:CTRG_02613
C5M2G7	ctp:CTRG_00256
C5MH65	ctp:CTRG_05419
C5MCW7	ctp:CTRG_04068
C5M6J0	ctp:CTRG_01471
C5MA26	ctp:CTRG_02338
C5MAT7	ctp:CTRG_03179
C5MBP1	ctp:CTRG_03483
C5MHP6	ctp:CTRG_05589
C5M3L1	ctp:CTRG_00650
C5MJB6	ctp:CTRG_06159
C5M2P6	ctp:CTRG_00335
B9WF11	cdu:CD36_87780
C5M4G4	ctp:CTRG_00954
C5MDE9	ctp:CTRG_04250
C5MH67	ctp:CTRG_05421
K3YJB7	sita:101779782
C5M4B9	ctp:CTRG_00909
C5M5U4	ctp:CTRG_01225
C5M5U4	ctp:CTRG_01258
C5M7A5	ctp:CTRG_01737
B4F7T4	zma:100191148
C5MHM9	ctp:CTRG_05572
C5MCK9	ctp:CTRG_03960
C5MIL1	ctp:CTRG_05904
C5MEV9	ctp:CTRG_04602
C5M9R3	ctp:CTRG_02244
C5M9R3	ctp:CTRG_02225
Q59TC4	cal:CaO19.11982
Q59TC4	cal:CaO19.4506
C5M987	ctp:CTRG_02959
C5ME41	ctp:CTRG_04333
C5MHH4	ctp:CTRG_05528
A5DNL8	pgu:PGUG_04869
C5MC44	ctp:CTRG_03636
C5MEX0	ctp:CTRG_04613
C5MJF9	ctp:CTRG_06202
C5M8I8	ctp:CTRG_02710
C5MFB1	ctp:CTRG_04754
C5MHM8	ctp:CTRG_05571
C5MD31	ctp:CTRG_04132
C5MFZ9	ctp:CTRG_04992
C5M546	ctp:CTRG_02024
C5MHY2	ctp:CTRG_05675
C5MC43	ctp:CTRG_03635
C5M7G1	ctp:CTRG_01793
C5M878	ctp:CTRG_02600
C5M268	ctp:CTRG_00157
C5M268	ctp:CTRG_00161
C5MGW3	ctp:CTRG_05317
C5MA13	ctp:CTRG_02325
C5MBX3	ctp:CTRG_03565
C5MG39	ctp:CTRG_05032
C5MEN9	ctp:CTRG_04542
C5MEN9	ctp:CTRG_04532
C5MAE5	ctp:CTRG_03037
C5M7F5	ctp:CTRG_01787
C5M389	ctp:CTRG_00528
C5MBX2	ctp:CTRG_03564
C5M508	ctp:CTRG_01986
C5M9T5	ctp:CTRG_02247
C5M4Y4	ctp:CTRG_01962
C5MCG4	ctp:CTRG_03915
C5M3L0	ctp:CTRG_00649
C5MBV1	ctp:CTRG_03543
C5ME15	ctp:CTRG_04307
C5MHH5	ctp:CTRG_05529
C5M8I2	ctp:CTRG_02704
C5MC41	ctp:CTRG_03633
C5MBC9	ctp:CTRG_03371
C5M6I8	ctp:CTRG_01469
C5M2Y2	ctp:CTRG_00421
C5MIM5	ctp:CTRG_05918
C5M888	ctp:CTRG_02610
C5MB06	ctp:CTRG_03248
C5MHH2	ctp:CTRG_05526
C5MA60	ctp:CTRG_02372
C5M4G5	ctp:CTRG_00955
C5MBF7	ctp:CTRG_03399
C5MAF8	ctp:CTRG_03050
C5M9R4	ctp:CTRG_02226
C5M9Z9	ctp:CTRG_02311
C5MCI3	ctp:CTRG_03934
C5MCI3	ctp:CTRG_03940
C5M2R7	ctp:CTRG_00356
C5MDS6	ctp:CTRG_03828
C5MAX9	ctp:CTRG_03221
C5M9Y0	ctp:CTRG_02292
C5MAU1	ctp:CTRG_03183
C5M4I5	ctp:CTRG_00975
C5MBT2	ctp:CTRG_03524
C5MH82	ctp:CTRG_05436
C5M9J1	ctp:CTRG_02153
C5MDA5	ctp:CTRG_04206
C5M4U3	ctp:CTRG_01921
C5MEM1	ctp:CTRG_04514
C5M6S3	ctp:CTRG_01554
C5MEX1	ctp:CTRG_04614
C5M446	ctp:CTRG_00835
C5M985	ctp:CTRG_02957
C5MHP9	ctp:CTRG_05592
C5MFA0	ctp:CTRG_04743
C5MIW8	ctp:CTRG_06011
C5MBP0	ctp:CTRG_03482
C5MH85	ctp:CTRG_05439
C5MBC7	ctp:CTRG_03369
C5M8H9	ctp:CTRG_02701
C5M200	ctp:CTRG_00089
C5M676	ctp:CTRG_01357
C5M419	ctp:CTRG_00808
C5M484	ctp:CTRG_00873
C5MDH8	ctp:CTRG_04279
C5MAY8	ctp:CTRG_03230
C5M6Q7	ctp:CTRG_01538
C5M1W2	ctp:CTRG_00051
C5M9R5	ctp:CTRG_02227
C5M4G6	ctp:CTRG_00956
C5M4G6	ctp:CTRG_00959
C5M2X7	ctp:CTRG_00416
C5M485	ctp:CTRG_00874
C5M304	ctp:CTRG_00443
C5M3B5	ctp:CTRG_00558
C5M3B5	ctp:CTRG_00554
C5M3D4	ctp:CTRG_00573
C5M7S3	ctp:CTRG_01905
C5MCW8	ctp:CTRG_04069
C5MG93	ctp:CTRG_05086
C5MG93	ctp:CTRG_05090
C5MIV7	ctp:CTRG_06000
Q5AJX0	cal:CaO19.4051
Q5AJX0	cal:CaO19.11533
C5MAJ5	ctp:CTRG_03087
B9WKJ9	cdu:CD36_25050
