XP_002548198.1	C5M7X3
XP_004976154.1	K3Y767
XP_004985210.1	K4A4S6
XP_004970979.1	K3XJJ7
XP_002548408.1	C5M8I3
XP_004965104.1	K3XYG6
XP_004966476.1	K3XWA2
WP_045310759.1	A0A0F0H8H7
XP_003573910.1	I1I3X4
XP_004982265.1	K4A567
NP_001151439.1	B6U0J9
WP_007186338.1	I7ZDM4
XP_015620081.1	Q2QMX9
XP_002548598.1	C5M923
XP_004956006.1	K3ZQU5
XP_004956221.1	K3ZR17
XP_004975074.1	K3Y782
XP_004976119.1	K3YC01
XP_014660421.1	K3Z8V3
XP_004973529.1	K3YMN3
NP_001146072.1	B7ZZ11
XP_002550829.1	C5MGD4
XP_002547934.1	C5M9R9
XP_002546605.1	C5MJ40
XP_004978442.1	K3ZHL4
XP_004965179.1	K3XWJ8
XP_002549104.1	C5MBF9
XP_002545784.1	C5M3C6
WP_039338755.1	A0A0A6W703
XP_004965919.1	K3XUZ7
WP_033738055.1	A0A0A6VZI8
XP_004957967.1	K3ZQI0
XP_012700910.1	K3XUS6
XP_003558163.1	A0A0Q3LGJ1
XP_015620151.1	Q2QM64
XP_002546602.1	C5MJ37
XP_004973368.1	K3YJ97
XP_004983905.1	K4A9M5
XP_012700728.1	K3Y292
WP_011053681.1	Q8K9Y8
XP_004954194.1	K3YP85
XP_004984442.1	K4A9I3
XP_004961094.1	K3Z684
XP_002547025.1	C5M649
WP_053608992.1	A0A0M8ZIT0
XP_004979833.1	K3ZHQ8
XP_002549485.1	C5MDN0
XP_004985228.1	K4A7U9
XP_004971147.1	K3XEM3
XP_004957750.1	K3ZQ39
XP_004954007.1	K3YRV4
XP_004982551.1	K4AL50
XP_001482854.1	A5DNF8
XP_002550688.1	C5MFZ3
XP_004977057.1	K3Y5Q8
XP_015616067.1	Q2RB27
XP_004969123.1	K3XDS5
XP_002549070.1	C5MBC5
XP_002548699.1	C5M9C4
XP_002548557.1	C5M8Y2
XP_004961275.1	K3Z5C8
XP_004955396.1	K3ZS45
XP_002546078.1	C5M470
XP_002549688.1	C5MCN4
XP_002549339.1	C5MC44
XP_002551245.1	C5MHI9
XP_004954530.1	K3YQE6
XP_004974242.1	K3YH53
XP_004982916.1	K4A4Z9
XP_012699696.1	K3ZU41
XP_002444793.1	C5YJ58
XP_004973832.1	K3YM02
XP_012699295.1	K3ZX66
XP_002550442.1	C5MF97
XP_002546112.1	C5M4A4
XP_012701326.1	K3XDX3
XP_002447269.1	C5Y9M2
XP_004961596.1	K3ZET3
XP_004952733.1	K3YRP5
XP_002551061.1	C5MH05
XP_015631367.1	Q84TA1
XP_004970111.1	K3XH05
XP_002546521.1	C5MIV6
XP_002548233.1	C5M808
XP_004975689.1	K3Y631
XP_002551473.1	C5MI78
XP_014660042.1	K4A612
XP_004966160.1	K3XXS9
XP_002548077.1	C5MA62
XP_002546620.1	C5MJ55
XP_004971091.1	K3XIT1
XP_004967474.1	K3XIV6
XP_004983205.1	K4AC16
XP_004976802.1	K3Y4M4
XP_002548665.1	C5M990
XP_004972862.1	K3YG11
XP_012702562.1	K3YFY2
XP_002551020.1	C5MGW4
XP_002437554.1	C5Z998
XP_004969414.1	K3XH92
XP_008663089.1	K7U2E4
XP_004970385.1	K3XGV5
XP_718852.1	A0A1D8PD22
XP_718852.1	Q96W54
XP_004981466.1	K4A707
XP_002545896.1	C5M3N8
XP_004962749.1	K3Z399
XP_004979284.1	K3ZIY6
XP_004976196.1	K3Y5X8
NP_001141459.1	B4FWB9
XP_004973729.1	K3YN97
XP_004970919.1	K3XIT9
XP_004957084.2	K4A1G3
XP_004976076.1	K3Y9T8
XP_004978268.1	K3YEL7
XP_004982807.1	K4A507
XP_008652534.1	A0A1D6I1N6
XP_004955821.1	K3ZQQ9
XP_713663.1	Q59VN4
XP_004965911.1	K3XY59
NP_001141893.1	B4FYQ7
XP_004963270.1	K3Z357
XP_004979846.1	K3ZHU8
XP_004959886.1	K3ZQZ7
XP_002551182.1	C5MHC6
XP_002549616.1	C5MCG2
XP_002547932.1	C5M9R7
XP_004970068.1	K3XSF3
XP_004962407.1	K3Z545
XP_004961637.1	K3Z606
WP_061503168.1	A0A127JY67
XP_012701178.1	K3XI90
XP_004975964.1	K3Y7X2
NP_001168344.1	C0P4H8
XP_004979125.1	K3ZHR3
XP_004982397.1	K4A8C2
XP_002548540.1	C5M8W5
XP_004958362.1	K3ZQB7
XP_004981263.1	K4A783
XP_002547328.1	C5M703
XP_002419310.1	B9WDZ3
XP_004962119.1	K3Z6R5
XP_004981478.1	K4A615
XP_002458443.1	C5XJ23
XP_004982211.1	K4A540
XP_002546919.1	C5M5U4
XP_004956712.1	K3ZQN3
XP_004980958.1	K4A7I4
XP_004981669.1	K4ACK4
XP_012703819.1	K3ZH36
XP_004952309.1	K3YPS3
XP_002446124.1	C5YCN5
XP_002547637.1	C5M4W6
XP_002548994.1	C5MB49
XP_004952050.1	K3YTF1
XP_004961073.1	K3Z3U6
XP_004976996.1	K3Y9L7
XP_004963872.1	K3Z4X2
XP_004962306.1	K3Z5Y5
XP_002551047.1	C5MGZ1
XP_002549401.1	C5MCA6
XP_002549392.1	C5MC97
XP_004962505.1	K3Z3T6
XP_002549198.1	C5MBQ3
WP_006118973.1	A0A0A6W9K9
WP_006118973.1	H3RCB7
XP_004967420.1	K3XK60
XP_004951559.1	K3YU41
XP_014753397.1	A0A0Q3JL31
XP_004971451.1	K3XEC9
XP_004981683.1	K4AMJ2
XP_012703009.1	K3Y8I4
XP_002547660.1	C5M4Y9
XP_002550845.1	C5MGF0
XP_008661885.1	A0A1D6KFH5
XP_004965735.1	K3XWR9
XP_004958613.1	K3ZU09
XP_004969020.1	K3XHY2
XP_008645883.1	A0A096QRT2
XP_002441879.1	C5YSB3
XP_002549042.1	C5MB97
XP_004971089.1	K3XDZ6
XP_004979900.1	K3ZHB0
XP_004962900.1	K3Z6D2
XP_004969547.1	K3XJ47
XP_002448366.1	C5YE56
XP_012703343.2	K3Y4V5
NP_001131267.1	B4FBV8
XP_003579512.1	I1J3K8
XP_002437598.1	C5Z1W2
XP_002547063.1	C5M688
XP_002547249.1	C5M6S4
XP_004968169.1	K3XFZ7
XP_004981488.1	K4AMK8
XP_004968477.1	K3XE44
XP_002546968.1	C5M5Z2
XP_004965258.1	K3XUW3
XP_004967580.1	K3XJE7
XP_004965073.1	K3Y359
XP_004965514.1	K3Y1H7
XP_012700890.1	K3Y3N3
XP_004985092.1	K4A510
XP_004983758.1	K4ACD7
XP_004985317.1	K4A6C8
XP_002545766.1	C5M3A8
XP_002454185.1	C5XXR6
XP_004981377.1	K4AF67
XP_004961859.1	K3Z4V9
XP_004976233.1	K3Y717
XP_002550807.1	C5MGB2
XP_004955156.1	K3Z0J0
XP_004969666.1	K3XED1
XP_002548080.1	C5MA65
XP_004961507.1	K3Z5H9
XP_004981977.1	K4A5E7
NP_001151787.2	C0HG48
XP_004960853.1	K3Z3T4
XP_002465119.1	C5WWI9
XP_002548319.1	C5M894
XP_002549531.1	C5MDS6
XP_004952915.1	K3YPX7
XP_004962656.1	K3Z8H0
XP_004961227.1	K3Z3D7
XP_002547288.1	C5M6W3
XP_004953285.1	K3YSH7
XP_002549173.1	C5MBM8
XP_004964386.1	K3XVD5
XP_004968813.1	K3XGB3
XP_002547015.1	C5M640
XP_002546220.1	C5M4L2
XP_002441371.1	C5Z0X5
XP_004951858.1	K3YZN0
NP_001149954.1	B6TJN8
WP_006120026.1	A0A0A6VZQ7
WP_006120026.1	A0A0E9B854
WP_006120026.1	A0A0H3KY82
WP_006120026.1	A0A0N1RU46
WP_006120026.1	D4GJ52
WP_006120026.1	H3REZ1
XP_004968268.1	K3XLC1
XP_004977145.1	K3Y7K3
XP_002457776.1	C5XJR8
XP_004969471.1	K3XJ72
XP_002549842.1	C5MD38
XP_004981896.1	K4A7G6
XP_004977001.1	K3Y4Q8
XP_004955869.1	K3ZQB1
XP_004978370.1	K3YC63
XP_004960383.1	K3Z5Y3
XP_002547965.1	C5M9V0
XP_002547233.1	C5M6Q8
XP_004971314.1	K3XE36
WP_028723590.1	A0A0A6W2H7
WP_028723590.1	A0A0M2YFI8
XP_002426604.1	E0VKF0
WP_063877231.1	A0A176UDW6
XP_008657087.1	K7V3P1
XP_002550798.1	C5MGA3
XP_012699479.1	K3ZQ91
XP_004954293.1	K3YQ54
XP_004966152.1	K3XZB4
XP_004964709.1	K3Y1J1
XP_014660746.1	K3XHG1
XP_002550833.1	C5MGD8
XP_008672932.1	A0A1D6MNI4
XP_002545374.1	C5M266
XP_004952294.1	K3YSR3
XP_004969763.1	K3XE00
XP_004956289.1	K3ZRM2
XP_004973463.1	K3YGZ9
XP_004985872.1	K4AA69
XP_004955762.1	K3ZQU6
XP_003599574.1	G7J0Z7
XP_004951625.1	K3YWK3
XP_004983071.1	K4AEZ0
XP_004955563.1	K3ZR05
XP_004969081.1	K3XGJ4
WP_011053599.1	Q8KA49
XP_004953695.1	K3YPA6
XP_002547680.1	C5M509
XP_002547244.1	C5M6R9
XP_004961639.1	K3Z7C0
XP_004970051.1	K3XJ94
XP_007372419.1	G3AFL8
XP_004973787.1	K3YJB7
XP_004983504.1	K4AC70
XP_003562892.1	I1GTI3
NP_001169660.1	C0PGU4
XP_004984340.1	K4AAZ7
XP_004952421.1	K3YQZ8
XP_002550814.1	C5MGB9
XP_012702472.1	K3YMX3
WP_009241394.1	A0A1A0N529
WP_009241394.1	C6BCY9
WP_009241394.1	U3GJ09
XP_004961264.1	K3Z5D3
XP_002548884.1	C5MAT9
XP_002548647.1	C5M972
NP_001159138.1	C0HDS7
XP_002460773.1	C5XA09
XP_004957073.1	K3ZS35
XP_015622473.1	B9ESX6
XP_002547880.1	C5M9L5
WP_006117705.1	A0A0A6YF07
WP_006117705.1	H3R8M1
XP_003575601.3	I1IJ05
XP_004981961.1	K4A545
XP_004962081.1	K3Z4R1
XP_004981993.1	K4ABM3
XP_002551303.1	C5MHQ8
XP_002546160.1	C5M4F2
XP_004951223.1	K3YRS9
XP_002547681.1	C5M510
XP_004964977.1	K3XXQ8
XP_002546755.1	C5MJJ0
XP_004973870.1	K3YG26
XP_012698745.1	K3YVI3
XP_004976482.1	K3Y742
XP_004978165.1	K3YCT2
XP_002551008.1	C5MGV2
XP_004961632.1	K3Z6L3
XP_004979799.1	K3ZHD9
YP_009235520.1	A0A0X8IH81
XP_004978711.1	K3ZJF4
XP_004969214.1	K3XEQ4
NP_001151320.1	B6TZ40
XP_004977106.1	K3Y881
WP_039339170.1	A0A0A6W5Y9
NP_001151150.1	C0PCF2
XP_004964975.1	K3XYD4
XP_013458251.1	A0A072URG7
XP_004967701.1	K3XEC4
XP_004986607.1	K4A596
XP_004951360.1	K3YQB0
XP_004963062.1	K3Z5D2
XP_004969910.1	K3XE30
XP_004967943.1	K3XKB2
XP_002547615.1	C5M4U4
XP_012701308.1	K3XJD3
XP_004974154.1	K3YH67
XP_012702788.1	K3Y5W3
XP_012703329.1	K3Y576
XP_004968622.1	K3XIY9
WP_039343507.1	A0A0A6YEH4
XP_008670773.1	A0A1D6F6D8
XP_004984855.1	K4AA34
XP_002548741.1	C5MAE6
XP_004978391.1	K3YE25
XP_012701750.1	K3XE81
NP_001152387.1	B6UDC6
XP_004982082.1	K4A5M0
XP_004962218.1	K3Z3C9
XP_004958557.1	K3ZVA6
XP_004975593.1	K3Y560
XP_004962723.1	K3Z6D3
XP_004972244.1	K3XQP8
XP_004984296.1	K4A8T2
XP_004966980.2	K3Y370
XP_018209163.1	A0A1B7SCJ0
XP_004970848.1	K3XF99
XP_004957253.1	K3ZTL7
XP_004966535.2	K3XV88
XP_004984505.1	K4A6N9
XP_004973816.1	K3YGQ7
XP_002549186.1	C5MBP1
XP_002549956.1	C5MDF2
XP_004957538.1	K3ZXV5
XP_004984018.1	K4A5Y3
XP_004969350.1	K3XE29
XP_004965322.1	K3XWF4
XP_004971394.1	K3XGI2
XP_004964800.1	K3XXR0
XP_004983497.1	K4A959
XP_004960024.1	K3Z3A2
XP_004956772.1	K4A459
NP_001130545.1	B4F9L1
XP_004977061.1	K3Y6D5
XP_002549927.1	C5MDC3
XP_002549962.1	C5MDF8
XP_004982689.1	K4ADX1
XP_004982044.1	K4AF75
XP_012703119.1	K3Y530
XP_004957603.1	K3ZRR4
XP_004969099.1	K3XEQ7
XP_004984022.1	K4AL72
XP_004964908.1	K3Y1B3
XP_002458467.1	C5XJZ6
NP_001170218.1	C0PM68
XP_004976858.1	K3Y871
XP_008668001.1	C0P3L3
XP_004963503.1	K3ZDH2
XP_004977672.3	K3YCR2
XP_001528528.1	A5DUL2
XP_008644735.1	A0A1D6GNH0
XP_004975681.1	K3Y4T2
XP_004973727.1	K3YGY5
XP_002549784.1	C5MCY0
XP_004985406.1	K4AEP4
XP_002546507.1	C5MIU2
XP_014753172.1	A0A0Q3GU67
XP_004979735.1	K3ZI61
XP_004952127.1	K3YPQ2
XP_002547756.1	C5M585
XP_002437930.1	C5Z5B1
XP_002550754.1	C5MG59
XP_002548309.1	C5M884
XP_004981745.1	K4AB74
XP_002550641.1	C5MFU6
XP_004983690.1	K4ADU6
XP_004970201.1	K3XEE4
XP_002551244.1	C5MHI8
XP_004951761.1	K3YSW5
XP_004978690.1	K3ZIB1
XP_004957672.1	K3ZWH0
XP_004969131.1	K3XGC7
XP_004976877.1	K3Y7I3
XP_002547036.1	C5M661
XP_004976387.1	K3Y841
XP_004977389.1	K3Y972
XP_004953824.1	K3YQT0
XP_002546769.1	C5MJK4
XP_014660772.1	K3XDT8
XP_004968443.1	K3XFP8
WP_059315355.1	A0A0U4WB00
XP_004958610.1	K3ZVN9
XP_004951948.1	K3YP86
XP_004985047.1	K4A9N3
XP_004958712.1	K3ZR06
XP_004982715.1	K4ABH7
XP_004961862.1	K3Z4X4
XP_004962396.1	K3Z4R6
WP_006120595.1	A0A0A6VZC0
WP_006120595.1	A0A0E9C2E7
WP_006120595.1	A0A0H3L0U2
WP_006120595.1	A0A0N1RRN4
WP_006120595.1	A0A176UP08
WP_006120595.1	D4GCG1
WP_006120595.1	H3RGF8
XP_004985995.1	K4A692
XP_013936477.1	W1QL37
XP_004953319.1	K3YUG6
XP_002446320.1	C5YEV2
XP_002545724.1	C5M366
XP_004976238.1	K3YDF1
XP_004979808.1	K3ZHQ6
XP_004956734.1	K3ZQV5
XP_004977497.1	K3Y946
XP_004952485.1	K3YRK7
XP_004975359.1	K3Y5T7
XP_004975933.1	K3Y5N9
XP_004952779.1	K3YQM0
XP_004983809.1	K4A571
XP_004964452.1	K3XZN7
XP_004965781.1	K3XV75
XP_004971408.1	K3XG41
XP_004985294.1	K4AC83
XP_002549690.1	C5MCN6
XP_002545270.1	C5M1W2
XP_004985525.1	K4AJQ5
XP_012698378.1	K4ACV9
XP_004958593.1	K3ZPX9
XP_002548818.1	C5MAM3
XP_004982054.1	K4A7S9
XP_002551240.1	C5MHI4
XP_002458653.1	C5XMJ3
XP_004954535.1	K3YPX2
XP_002548978.1	C5MB33
XP_004968411.1	K3XI15
XP_004966254.1	K3XVN3
XP_002547046.1	C5M671
XP_004966351.1	K3XXE4
XP_004969188.1	K3XG44
NP_001168251.1	C0P3N0
XP_004954110.1	K3YYV4
XP_004968993.1	K3XG88
XP_004973984.1	K3YLI0
XP_008656385.1	K7UWQ3
XP_004965198.1	K3XUQ8
XP_002458579.1	C5XLL3
XP_004951531.1	K3YRF3
XP_003578266.2	A0A0Q3HAX8
XP_004976418.1	K3Y861
NP_001148007.1	B6SWZ1
XP_002547457.1	C5M7D2
XP_004984066.1	K4AE40
XP_002546850.1	C5M5M5
XP_004979443.1	K3ZJ56
XP_004976600.1	K3Y786
XP_004978745.1	K3ZHA8
XP_004964482.1	K3XXP1
XP_004972793.1	K3YIA1
XP_004966457.1	K3XXG1
XP_004982886.1	K4A4U3
XP_004976904.1	K3Y969
XP_012700786.1	K3XXJ0
XP_004968767.1	K3XEV8
WP_006117864.1	A0A0A6W040
WP_006117864.1	H3R925
XP_004965240.1	K3XVL1
XP_004970125.1	K3XFA6
XP_004978184.1	K3Y6Q7
XP_004970637.1	K3XHJ2
XP_004966052.1	K3XVT5
NP_001141708.1	B4FXQ3
XP_002460796.1	C5XA46
XP_004966252.1	K3XZT2
XP_012703797.1	K3ZJF0
XP_004957597.1	K3ZQP2
XP_002551292.1	C5MHP7
XP_002551369.1	C5MHX4
XP_004969832.1	K3XGJ3
XP_004984053.1	K4AK60
XP_002549733.1	C5MCS9
XP_004981412.1	K4AF95
XP_002440579.1	C5YZZ8
XP_004978787.1	K3ZHC1
XP_002445091.1	C5YHB7
XP_012701723.1	K3XEI5
XP_007152185.1	V7C234
XP_004973615.1	K3YMJ4
XP_004971598.1	K3XS23
XP_002545373.1	C5M265
XP_008676840.1	K7U8W2
XP_004965943.1	K3XVB1
XP_012700105.1	K3Z5D5
XP_004957140.1	K3ZRN7
XP_004976367.1	K3Y8G2
XP_002548542.1	C5M8W7
XP_002420645.1	B9WHT3
XP_004970741.1	K3XE84
XP_003577528.1	I1IGJ7
XP_004982658.1	K4A7E2
XP_002546299.1	C5MI84
XP_004958807.1	K3ZRZ7
XP_002546764.1	C5MJJ9
XP_004968399.1	K3XEK3
XP_007372460.1	G3AFQ9
XP_002418387.1	B9WBB7
XP_004983213.1	K4A745
XP_002549792.1	C5MCY8
XP_002551242.1	C5MHI6
XP_002545555.1	C5M2P7
XP_002545641.1	C5M2Y3
XP_002549583.1	C5MDX8
XP_002550388.1	C5MF43
XP_002547250.1	C5M6S5
XP_002547236.1	C5M6R1
XP_002549230.1	C5MBT5
XP_002545379.1	C5M271
XP_002548977.1	C5MB32
XP_002546359.1	C5MIE4
XP_002548848.1	C5MAQ3
XP_002550079.1	C5ME84
XP_002550305.1	C5MEW0
XP_002548071.1	C5MA56
XP_002550849.1	C5MGF4
XP_002550234.1	C5MEN9
XP_002545504.1	C5M2J6
XP_002548475.1	C5M8Q0
XP_002549887.1	C5MD83
XP_002548999.1	C5MB54
XP_002547966.1	C5M9V1
XP_002549966.1	C5MDG2
XP_002551230.1	C5MHH4
XP_002545818.1	C5M3G0
XP_002545556.1	C5M2P8
XP_002547911.1	C5M9P6
XP_002548993.1	C5MB48
XP_002549016.1	C5MB71
XP_002547690.1	C5M519
XP_002550649.1	C5MFV4
XP_002548313.1	C5M888
XP_002548065.1	C5MA50
XP_002550235.1	C5MEP0
XP_002546474.1	C5MIQ9
XP_002545838.1	C5M3I0
XP_002549965.1	C5MDG1
XP_002548165.1	C5M7U0
XP_002550831.1	C5MGD6
XP_002549635.1	C5MCI1
XP_002548874.1	C5MAS9
XP_002551229.1	C5MHH3
XP_002548544.1	C5M8W9
XP_002546607.1	C5MJ42
XP_002547024.1	C5M650
XP_002549767.1	C5MCW3
XP_002549637.1	C5MCI3
XP_002546358.1	C5MIE3
XP_002549840.1	C5MD36
XP_002549771.1	C5MCW7
XP_002546048.1	C5M440
XP_002551177.1	C5MHC1
XP_002546233.1	C5M4M5
XP_002546635.1	C5MJ70
XP_002546681.1	C5MJB6
XP_002545958.1	C5M3U9
XP_002547215.1	C5M6P0
XP_712932.1	Q59TC4
XP_002548538.1	C5M8W3
XP_002549501.1	C5MDP6
XP_002547928.1	C5M9R3
XP_002549904.1	C5MDA0
XP_002550316.1	C5MEX1
XP_002550689.1	C5MFZ4
XP_002549615.1	C5MCG1
XP_002551274.1	C5MHM9
XP_002545752.1	C5M394
XP_002550304.1	C5MEV9
XP_002546457.1	C5MIP2
XP_002546534.1	C5MIW9
XP_002546586.1	C5MJ21
XP_002546440.1	C5MIM5
XP_002546127.1	C5M4B9
XP_002547679.1	C5M508
XP_002551456.1	C5MI61
XP_002546427.1	C5MIL2
XP_002549835.1	C5MD31
XP_002548217.1	C5M7Z2
XP_002550694.1	C5MFZ9
XP_002545250.1	C5M1U2
XP_002547526.1	C5M7K1
XP_002547023.1	C5M648
XP_002546047.1	C5M439
XP_002418726.1	B9WCA9
XP_002548303.1	C5M878
XP_002550808.1	C5MGB3
XP_002549953.1	C5MDE9
XP_002550246.1	C5MEQ1
XP_002548028.1	C5MA13
XP_002549074.1	C5MBC9
XP_002547718.1	C5M547
XP_002546106.1	C5M498
XP_002548740.1	C5MAE5
XP_002545376.1	C5M268
XP_001525782.1	A5DTA3
XP_002547480.1	C5M7F5
XP_002546742.1	C5MJH7
XP_002547638.1	C5M4W7
XP_002550835.1	C5MGE0
XP_002549267.1	C5MBX2
XP_002545860.1	C5M3K2
XP_002548649.1	C5M974
XP_002547655.1	C5M4Y4
XP_002546522.1	C5MIV7
XP_002550315.1	C5MEX0
XP_002548354.1	C5M8C9
XP_002545790.1	C5M3D2
XP_002549336.1	C5MC41
XP_002548467.1	C5M8P2
XP_002545640.1	C5M2Y2
XP_002550233.1	C5MEN8
XP_002545696.1	C5M338
XP_002549636.1	C5MCI2
XP_002547163.1	C5M6I8
XP_002549010.1	C5MB65
XP_002547929.1	C5M9R4
XP_002549131.1	C5MBI6
XP_001527888.1	A5DSS2
XP_002548836.1	C5MAP1
XP_002548951.1	C5MB06
XP_002545956.1	C5M3U8
XP_002545259.1	C5M1V1
XP_002548753.1	C5MAF8
XP_002551228.1	C5MHH2
XP_002545318.1	C5M210
XP_002549634.1	C5MCI0
XP_002547103.1	C5M6C8
XP_002548232.1	C5M807
XP_002548014.1	C5M9Z9
XP_002548316.1	C5M891
XP_002546173.1	C5M4G5
XP_002547049.1	C5M674
XP_002548407.1	C5M8I2
XP_002548825.1	C5MAN0
XP_002547761.1	C5M590
XP_002550846.1	C5MGF1
XP_002551048.1	C5MGZ2
XP_002551162.1	C5MHA6
XP_002549227.1	C5MBT2
XP_002548997.1	C5MB52
XP_002546866.1	C5M5P1
XP_002547614.1	C5M4U3
XP_002545869.1	C5M3L1
XP_002547248.1	C5M6S3
XP_002547726.1	C5M555
XP_002545317.1	C5M209
XP_002551238.1	C5MHI2
XP_002551190.1	C5MHD4
XP_002547760.1	C5M589
XP_002548374.1	C5M8E9
XP_002546512.1	C5MIU7
XP_002547517.1	C5M7J2
XP_002550528.1	C5MFI3
XP_002551241.1	C5MHI5
XP_002550464.1	C5MFB9
XP_002547048.1	C5M673
XP_002549665.1	C5MCL1
XP_002549185.1	C5MBP0
XP_002551273.1	C5MHM8
XP_002550445.1	C5MFA0
XP_002545739.1	C5M381
XP_002551141.1	C5MH85
XP_002548739.1	C5MAE4
XP_002545737.1	C5M379
XP_002548404.1	C5M8H9
XP_002547798.1	C5M5C7
XP_002546982.1	C5M607
XP_002545308.1	C5M200
XP_002546196.1	C5M4I8
XP_002547051.1	C5M676
XP_002546533.1	C5MIW8
XP_002551239.1	C5MHI3
XP_002545897.1	C5M3N9
XP_002547827.1	C5M9G2
XP_002547370.1	C5M745
XP_002547050.1	C5M675
XP_002550463.1	C5MFB8
XP_002548933.1	C5MAY8
XP_002547930.1	C5M9R5
XP_002549038.1	C5MB93
XP_002545955.1	C5M3U7
XP_002546174.1	C5M4G6
XP_002549072.1	C5MBC7
XP_002548476.1	C5M8Q1
XP_002422064.1	B9WLV3
XP_002548949.1	C5MB04
XP_002549049.1	C5MBA4
XP_002546093.1	C5M485
XP_002545466.1	C5M2F8
XP_002545632.1	C5M2X4
XP_002545792.1	C5M3D4
XP_002547598.1	C5M7S3
XP_002546049.1	C5M441
XP_002551181.1	C5MHC5
XP_002549772.1	C5MCW8
XP_002546768.1	C5MJK3
XP_002545657.1	C5M2Z9
XP_002550788.1	C5MG93
XP_721959.1	Q5AJX0
XP_002548790.1	C5MAJ5
XP_002551166.1	C5MHB0
XP_002549378.1	C5MC83
XP_002545375.1	C5M267
XP_002547052.1	C5M677
XP_002548066.1	C5MA51
